,precision,recall,f1-score,support
Automotive,0.7360594795539034,0.6246056782334385,0.6757679180887372,317.0
Construction,0.6262886597938144,0.6295336787564767,0.627906976744186,386.0
Consumer Goods,0.5193798449612403,0.5296442687747036,0.5244618395303328,506.0
Financial Services,0.7932816537467701,0.7451456310679612,0.7684605757196495,412.0
Human Resources,0.7272727272727273,0.5803108808290155,0.6455331412103745,193.0
Information Technology and Services,0.6489795918367347,0.8451827242524917,0.7341991341991341,1505.0
Insurance,0.7788461538461539,0.648,0.7074235807860262,125.0
Legal Services,0.8833333333333333,0.828125,0.8548387096774193,128.0
"Leisure, Travel & Tourism",0.8571428571428571,0.8360655737704918,0.8464730290456433,122.0
Logistics and Supply Chain,0.8053097345132744,0.6190476190476191,0.7,147.0
Machinery,0.4672897196261682,0.49504950495049505,0.4807692307692307,505.0
Management Consulting,0.5984,0.56071964017991,0.5789473684210527,667.0
Marketing and Advertising,0.6763636363636364,0.7126436781609196,0.6940298507462686,522.0
Mechanical or Industrial Engineering,0.4940119760479042,0.5719237435008665,0.5301204819277109,577.0
Media Production,0.496,0.2572614107883817,0.3387978142076502,241.0
Medical Practice,0.7585139318885449,0.6882022471910112,0.7216494845360825,356.0
Real Estate,0.8333333333333334,0.6991525423728814,0.76036866359447,236.0
Recreational Facilities and Services,0.6639344262295082,0.5192307692307693,0.5827338129496403,156.0
Renewables & Environment,0.6896551724137931,0.3883495145631068,0.49689440993788825,103.0
Telecommunications,0.75,0.3284671532846715,0.4568527918781726,137.0
Wholesale,0.553072625698324,0.4267241379310345,0.4817518248175182,232.0
accuracy,0.6395087811963555,0.6395087811963555,0.6395087811963555,0.6395087811963555
macro avg,0.6836413741715248,0.5968278760422022,0.628951458989866,7573.0
weighted avg,0.644433435061058,0.6395087811963555,0.6343198708455181,7573.0
