,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,215,2,12,2,2,12,0,0,0,1,23,9,4,25,0,2,0,3,1,1,3
Construction,1,256,17,5,4,14,0,0,2,1,28,10,8,20,0,4,6,2,4,0,4
Consumer Goods,10,20,304,3,1,33,1,1,1,0,29,6,11,41,2,10,0,11,2,2,18
Financial Services,7,3,5,317,2,33,13,2,1,0,1,15,5,0,1,3,2,0,0,2,0
Human Resources,0,1,1,4,122,13,1,0,0,0,3,38,4,2,1,2,0,0,0,1,0
Information Technology and Services,4,5,27,18,6,1248,1,2,2,8,5,69,28,15,36,9,2,4,1,9,6
Insurance,2,1,2,13,0,8,86,0,0,0,1,5,1,1,0,3,2,0,0,0,0
Legal Services,0,1,3,5,0,4,0,111,0,0,1,1,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,0,5,0,0,102,0,1,1,2,0,0,0,2,6,0,0,1
Logistics and Supply Chain,4,2,5,0,0,6,1,0,0,98,7,6,2,7,2,1,0,0,1,1,4
Machinery,17,25,16,2,1,30,0,0,0,2,254,8,2,116,2,7,4,1,4,1,13
Management Consulting,2,17,7,13,17,128,4,6,0,2,9,397,24,6,9,14,3,2,3,3,1
Marketing and Advertising,1,12,8,1,1,35,0,0,1,2,3,20,399,5,25,3,0,1,0,1,4
Mechanical or Industrial Engineering,21,20,30,2,1,37,0,0,0,3,76,10,2,351,1,3,1,2,1,0,16
Media Production,1,0,10,4,1,73,0,1,2,1,0,7,43,2,83,2,3,1,1,3,3
Medical Practice,1,5,11,1,1,22,3,0,1,2,5,11,4,16,1,263,0,5,1,0,3
Real Estate,1,20,1,9,1,10,1,1,1,3,2,2,3,1,1,1,176,1,0,1,0
Recreational Facilities and Services,0,4,9,0,1,6,1,0,3,0,8,2,6,5,2,7,1,96,1,0,4
Renewables & Environment,3,3,6,1,0,5,0,0,0,0,13,3,1,15,1,1,0,0,50,0,1
Telecommunications,0,3,13,2,1,38,0,1,0,1,3,5,5,5,1,0,0,0,1,54,4
Wholesale,7,5,29,1,1,12,0,0,1,2,18,3,7,14,1,6,0,8,0,0,117
