,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,198,1,11,4,2,26,0,0,0,3,17,14,6,28,1,1,0,1,0,0,4
Construction,1,243,21,2,1,27,0,0,2,2,29,15,9,16,0,3,9,2,1,0,3
Consumer Goods,7,16,268,5,0,54,0,1,0,1,30,7,4,65,1,5,2,9,1,3,27
Financial Services,6,2,8,307,0,41,11,3,2,1,1,17,2,0,0,4,5,1,0,1,0
Human Resources,2,3,0,4,112,20,1,1,1,0,3,34,7,2,0,3,0,0,0,0,0
Information Technology and Services,8,7,20,12,7,1272,1,1,1,5,9,62,32,15,27,11,2,4,1,5,3
Insurance,1,2,1,15,0,12,81,0,0,0,1,4,0,1,0,2,5,0,0,0,0
Legal Services,0,1,4,6,0,4,0,106,0,0,1,2,1,0,1,1,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,3,1,0,7,0,0,102,0,0,0,1,1,0,0,1,4,0,0,0
Logistics and Supply Chain,4,2,8,2,0,16,0,0,0,91,6,7,1,4,0,3,0,0,1,0,2
Machinery,11,19,15,4,2,26,1,0,1,1,250,12,3,135,0,4,2,1,5,2,11
Management Consulting,0,14,9,10,23,149,3,5,0,2,6,374,34,5,5,17,4,1,3,2,1
Marketing and Advertising,4,11,13,3,1,61,0,0,2,0,4,20,372,3,20,3,1,1,0,0,3
Mechanical or Industrial Engineering,15,13,40,1,2,46,0,0,0,3,96,9,1,330,0,6,0,4,1,0,10
Media Production,0,3,11,4,1,78,0,1,3,0,0,13,56,3,62,2,0,0,0,2,2
Medical Practice,1,3,12,2,0,34,2,0,1,1,14,14,4,15,1,245,0,3,1,0,3
Real Estate,0,19,4,4,0,12,4,2,2,1,2,12,3,3,1,0,165,1,0,0,1
Recreational Facilities and Services,1,4,19,0,2,6,0,0,2,0,13,1,5,3,3,6,0,81,2,0,8
Renewables & Environment,2,9,4,0,0,11,0,0,0,0,21,2,0,12,0,2,0,0,40,0,0
Telecommunications,0,3,15,1,1,45,0,0,0,0,6,5,4,6,2,0,0,1,1,45,2
Wholesale,7,12,30,0,0,13,0,0,0,2,26,1,5,21,1,5,1,8,1,0,99
