,precision,recall,f1-score,support
Automotive,0.41025641025641024,0.25236593059936907,0.31249999999999994,317.0
Construction,0.36492890995260663,0.19948186528497408,0.2579564489112228,386.0
Consumer Goods,0.32044198895027626,0.22924901185770752,0.2672811059907834,506.0
Financial Services,0.5614617940199336,0.41019417475728154,0.47405329593267886,412.0
Human Resources,0.4090909090909091,0.18652849740932642,0.2562277580071174,193.0
Information Technology and Services,0.28454242501922583,0.7375415282392026,0.4106548279689234,1505.0
Insurance,0.4745762711864407,0.224,0.30434782608695654,125.0
Legal Services,0.49056603773584906,0.203125,0.287292817679558,128.0
"Leisure, Travel & Tourism",0.524390243902439,0.3524590163934426,0.4215686274509804,122.0
Logistics and Supply Chain,0.5166666666666667,0.2108843537414966,0.2995169082125604,147.0
Machinery,0.2591362126245847,0.15445544554455445,0.1935483870967742,505.0
Management Consulting,0.3558951965065502,0.24437781109445278,0.2897777777777778,667.0
Marketing and Advertising,0.34269662921348315,0.23371647509578544,0.27790432801822323,522.0
Mechanical or Industrial Engineering,0.2863636363636364,0.21837088388214904,0.24778761061946902,577.0
Media Production,0.2,0.0912863070539419,0.12535612535612536,241.0
Medical Practice,0.42857142857142855,0.23595505617977527,0.30434782608695654,356.0
Real Estate,0.6229508196721312,0.3220338983050847,0.4245810055865921,236.0
Recreational Facilities and Services,0.18461538461538463,0.07692307692307693,0.1085972850678733,156.0
Renewables & Environment,0.5,0.1650485436893204,0.24817518248175183,103.0
Telecommunications,0.4838709677419355,0.10948905109489052,0.17857142857142858,137.0
Wholesale,0.27702702702702703,0.17672413793103448,0.21578947368421053,232.0
accuracy,0.3264228179057177,0.3264228179057177,0.3264228179057177,0.3264228179057177
macro avg,0.3951451885293771,0.23972428881318417,0.2812302879327602,7573.0
weighted avg,0.35714043250661826,0.3264228179057177,0.30394907361813,7573.0
