,precision,recall,f1-score,support
Automotive,0.6033057851239669,0.2302839116719243,0.3333333333333333,317.0
Construction,0.4274193548387097,0.13730569948186527,0.20784313725490194,386.0
Consumer Goods,0.3562231759656652,0.16403162055335968,0.22462787550744245,506.0
Financial Services,0.6778242677824268,0.3932038834951456,0.49769585253456217,412.0
Human Resources,0.53125,0.17616580310880828,0.26459143968871596,193.0
Information Technology and Services,0.2490684447930967,0.8438538205980066,0.3846153846153847,1505.0
Insurance,0.575,0.184,0.2787878787878788,125.0
Legal Services,0.7575757575757576,0.1953125,0.3105590062111801,128.0
"Leisure, Travel & Tourism",0.6949152542372882,0.3360655737704918,0.4530386740331492,122.0
Logistics and Supply Chain,0.5714285714285714,0.19047619047619047,0.2857142857142857,147.0
Machinery,0.39487179487179486,0.15247524752475247,0.22,505.0
Management Consulting,0.41924398625429554,0.18290854572713644,0.25469728601252606,667.0
Marketing and Advertising,0.44061302681992337,0.22030651340996169,0.2937420178799489,522.0
Mechanical or Industrial Engineering,0.34965034965034963,0.1733102253032929,0.2317497103128621,577.0
Media Production,0.22727272727272727,0.06224066390041494,0.09771986970684038,241.0
Medical Practice,0.5774647887323944,0.2303370786516854,0.3293172690763052,356.0
Real Estate,0.6111111111111112,0.2796610169491525,0.38372093023255816,236.0
Recreational Facilities and Services,0.2571428571428571,0.057692307692307696,0.09424083769633508,156.0
Renewables & Environment,0.6666666666666666,0.1553398058252427,0.25196850393700787,103.0
Telecommunications,0.45454545454545453,0.072992700729927,0.12578616352201258,137.0
Wholesale,0.3048780487804878,0.10775862068965517,0.1592356687898089,232.0
accuracy,0.32074475108939654,0.32074475108939654,0.32074475108939654,0.32074475108939654
macro avg,0.48321292493302587,0.21646293950282475,0.2706183392784305,7573.0
weighted avg,0.42095602744775396,0.32074475108939654,0.29058508642640934,7573.0
