,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,80,7,19,6,2,142,1,2,1,3,6,6,9,18,4,3,1,1,0,0,6
Construction,4,77,13,6,7,191,1,0,2,3,21,15,7,13,2,7,7,2,2,0,6
Consumer Goods,18,11,116,10,1,209,0,1,3,2,15,10,15,36,6,9,4,12,4,1,23
Financial Services,5,6,3,169,1,155,5,3,1,0,8,17,11,7,2,5,4,4,1,0,5
Human Resources,2,1,9,7,36,86,0,1,1,1,2,24,4,7,2,6,2,0,0,2,0
Information Technology and Services,18,16,34,22,11,1110,3,6,6,1,31,85,50,42,18,17,6,5,2,5,17
Insurance,2,0,1,8,2,56,28,1,0,1,2,8,6,2,2,4,1,0,0,0,1
Legal Services,0,2,3,3,0,68,0,26,1,0,4,8,1,3,1,4,0,1,0,0,3
"Leisure, Travel & Tourism",4,4,6,4,0,43,1,0,43,1,5,0,3,4,1,1,0,1,0,1,0
Logistics and Supply Chain,5,3,3,2,0,62,0,2,0,31,6,2,4,6,5,10,1,0,0,0,5
Machinery,17,16,23,10,2,221,1,0,1,1,78,15,10,75,6,8,4,6,1,2,8
Management Consulting,1,9,14,17,10,360,6,2,7,4,6,163,26,17,6,7,8,2,0,0,2
Marketing and Advertising,5,12,13,5,7,261,1,2,5,3,12,21,122,15,20,6,1,2,1,1,7
Mechanical or Industrial Engineering,12,15,24,4,2,279,3,2,0,2,45,17,16,126,3,11,3,1,0,2,10
Media Production,1,6,12,5,3,128,0,1,2,1,3,14,28,9,22,0,1,1,1,1,2
Medical Practice,3,7,12,5,1,157,2,0,1,1,14,24,11,19,4,84,1,5,1,0,4
Real Estate,4,9,6,7,1,94,4,2,4,2,5,11,5,4,0,1,76,1,0,0,0
Recreational Facilities and Services,4,1,14,1,0,80,1,0,2,1,11,1,9,5,2,6,0,12,1,0,5
Renewables & Environment,2,2,5,3,0,34,1,0,0,1,14,3,4,11,0,2,1,1,17,1,1
Telecommunications,3,2,8,4,1,81,0,1,0,0,2,3,8,4,1,1,0,0,1,15,2
Wholesale,5,5,24,3,1,84,1,1,2,1,11,11,7,17,3,4,1,8,2,0,41
