,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,73,2,8,6,2,187,0,0,0,2,4,4,6,13,2,1,1,1,0,1,4
Construction,2,53,8,5,1,258,0,0,3,4,14,9,5,4,2,4,10,0,1,0,3
Consumer Goods,9,5,83,8,2,308,0,0,3,0,12,0,10,30,4,8,3,5,1,1,14
Financial Services,2,1,4,162,0,214,7,0,0,1,1,7,5,2,1,0,2,1,0,1,1
Human Resources,0,2,5,3,34,115,1,0,0,3,0,21,2,0,0,5,1,0,0,0,1
Information Technology and Services,2,6,22,17,9,1270,2,3,2,5,11,48,42,27,13,9,4,1,0,4,8
Insurance,0,1,0,9,0,83,23,0,0,0,0,3,1,0,0,3,2,0,0,0,0
Legal Services,0,1,1,3,0,87,0,25,1,0,3,2,2,2,0,0,0,0,0,0,1
"Leisure, Travel & Tourism",2,0,3,0,1,68,1,0,41,0,0,2,0,1,0,0,1,2,0,0,0
Logistics and Supply Chain,5,2,3,0,0,93,0,0,0,28,3,2,1,5,2,2,0,0,0,1,0
Machinery,6,12,6,2,1,313,0,0,0,2,77,10,3,54,4,5,2,1,1,0,6
Management Consulting,1,12,5,8,10,453,2,3,1,1,8,122,14,3,4,8,8,2,0,1,1
Marketing and Advertising,5,6,12,2,2,336,0,0,3,2,2,13,115,4,12,3,0,2,2,0,1
Mechanical or Industrial Engineering,8,8,16,2,1,385,0,0,0,0,18,15,6,100,1,5,5,0,0,1,6
Media Production,0,2,5,3,0,169,1,1,1,1,5,5,23,4,15,4,0,0,0,1,1
Medical Practice,2,2,8,1,1,217,1,0,2,0,4,12,5,11,2,82,1,3,0,0,2
Real Estate,1,4,0,2,0,144,0,0,1,0,1,10,1,2,1,0,66,0,1,1,1
Recreational Facilities and Services,0,1,12,2,0,107,0,0,0,0,7,3,3,2,2,2,0,9,2,0,4
Renewables & Environment,0,2,3,3,0,56,0,0,0,0,9,2,1,8,0,0,1,1,16,0,1
Telecommunications,1,0,2,1,0,106,0,0,0,0,2,1,9,2,0,0,1,0,0,10,2
Wholesale,2,2,27,0,0,130,2,1,1,0,14,0,7,12,1,1,0,7,0,0,25
