feature,value
banking,0.011628423817455769
kraftstoffverbrauch,0.011187015101313591
rechtsanwa,0.006993505638092756
software,0.004921681247651577
inhalte,0.0049117556773126125
5g,0.00355047476477921
patienten,0.0035119913518428802
vollem,0.0034120320342481136
immobilien,0.003072435734793544
werbeagentur,0.0026308526284992695
gas,0.002542820293456316
internetagentur,0.002542584901675582
vehicle,0.0024447820615023375
erp,0.002369541674852371
hrungskra,0.002368572633713484
maschinen,0.002275338163599372
cloud,0.0022349567152559757
maschinenbau,0.002193246968090534
hotel,0.00203538965433836
fahrzeug,0.0019233255879953504
patients,0.0018749291775748134
medical,0.0018196183955296874
electronics,0.0017713147681206465
pumps,0.0017523497808724642
bau,0.0017500765388831496
fonds,0.0017297418089583516
m2,0.0017162766307592392
autohaus,0.0017151935026049614
kandidaten,0.0016908524557948112
machines,0.001684912946075201
zutaten,0.0016646452713757753
logistics,0.0016486283857375383
steuerberatungsgesellschaft,0.001639320980757475
wohnungen,0.0015886398032307625
versicherungen,0.0015657955082133412
handling,0.0015576663427054882
steel,0.0015527219511568546
sortiment,0.0015465726610273123
enterprise,0.001538356184028089
coaching,0.0015380301047116518
lighting,0.0015064077451825142
marketing,0.001493130112066865
strom,0.0014868583530187607
cnc,0.0014801057986915112
solar,0.0014753761934116483
berater,0.0014448465080931783
vehicles,0.0014246642822399735
geschmack,0.0014113668585196137
getra,0.0014113030629232526
patient,0.001406079507432878
zision,0.0013997486094012856
cable,0.001398629043251276
kampagne,0.0013939510099589825
bank,0.0013897963799536228
werkzeugmaschinen,0.0013783634640276432
consulting,0.0013764097820967436
steuerberatung,0.0013755804393440485
rdertechnik,0.0013656194787472486
voip,0.0013633414637297392
immobilie,0.0013628766173496842
werbeartikel,0.0013601466780528426
kundenspezifische,0.0013470256235450506
warenkorb,0.0013413520064204931
agentur,0.0013345025945454836
gebrauchtwagen,0.001332986867055297
deine,0.001317041926085949
implementation,0.0013110267464071512
mwst,0.0013060234487056732
anleger,0.001304752309806645
rme,0.001284586964175105
umsetzung,0.0012794617796316743
vera,0.0012622711947187781
estate,0.0012579191243276
komponenten,0.001240251469425857
adults,0.0012287338031455874
clinical,0.0012258726637810469
neubau,0.001224505715072155
telecom,0.0012109033996239305
garten,0.0012068424839526415
architekten,0.0012043387396261096
anlage,0.0012033652747049928
zahlungen,0.001197929261252284
bio,0.0011921931290999055
mobilfunk,0.0011917650699615479
update,0.0011906432919204235
versicherung,0.0011671914253383875
credit,0.001160946092568338
steuerberater,0.001160761690698564
konstruktion,0.0011557803954929113
it,0.0011504522990435362
bewerber,0.0011333904694765806
capital,0.0011280339676886797
sap,0.0011228220537304878
kanzlei,0.0011199649889022112
enjoy,0.0011178774293512106
sensor,0.0011076352093368769
kampagnen,0.0010979336220771074
anlagen,0.0010961837833747268
methoden,0.0010923058725893497
krankenversicherung,0.0010912759462371469
consult,0.0010879605542868376
wohnung,0.0010873667197301984
ac,0.00108414888381958
kreative,0.0010774352122098207
consultants,0.001071956125088036
transporte,0.001065065967850387
shop,0.0010584867559373379
insurance,0.0010562118841335177
spezialita,0.0010357185965403914
mie,0.0010278262197971344
transport,0.0010268535697832704
pharma,0.001026000129058957
hotels,0.0010198700474575162
nutzer,0.0010101712541654706
medizin,0.001002024975605309
creative,0.0010008837562054396
investments,0.0009953560074791312
auto,0.000994487083517015
dokumentenmanagement,0.0009888858767226338
lte,0.0009866292821243405
arbeitsschutz,0.000981901423074305
kliniken,0.0009703022078610957
amazon,0.0009691285667940974
wartung,0.0009638930205255747
job,0.0009636814356781542
iphone,0.0009628304396755993
fra,0.0009627817198634148
filialen,0.0009574335999786854
leasing,0.0009499527513980865
microsoft,0.0009470744989812374
finanzierung,0.0009442742448300123
elektrotechnik,0.0009401502320542932
strategie,0.0009362599812448025
fach,0.0009349996689707041
ressourcen,0.0009256072225980461
transformation,0.0009210767457261682
mitte,0.0009174637962132692
stadtwerke,0.0009098986629396677
building,0.0009044438484124839
leuchten,0.0009027423802763224
aktiveren,0.0009018053533509374
led,0.0009015480172820389
glicht,0.0008992207003757358
construction,0.0008987868786789477
organisationen,0.0008980155107565224
trading,0.0008961744024418294
button,0.000893600401468575
agency,0.0008927533635869622
typo3,0.0008905340218916535
gesundheit,0.0008844967815093696
bmw,0.0008831637096591294
schaden,0.0008818782516755164
bic,0.0008777300827205181
cart,0.0008768117986619473
marke,0.0008760950295254588
consultant,0.0008677644655108452
car,0.0008667983347550035
pharmaceutical,0.0008665559580549598
payment,0.0008623061585240066
financial,0.000861977634485811
automation,0.0008578731212764978
raiffeisen,0.0008573312079533935
zeitarbeit,0.000857283768709749
organisatie,0.0008567075128667057
medizinische,0.0008496958180330694
container,0.000848667579703033
apotheke,0.0008462544647045434
mercedes,0.0008443343685939908
law,0.0008425961714237928
snacks,0.0008418532670475543
architects,0.0008376172627322376
baugruppen,0.0008327157120220363
data,0.0008282054914161563
windows,0.0008236852008849382
km,0.0008196174167096615
stahl,0.0008013647166080773
brandschutz,0.0007927668048068881
werbung,0.0007915452006272972
hosting,0.0007911385619081557
arzneimittel,0.0007877340540289879
zielgruppe,0.0007851537084206939
logistik,0.0007839163299649954
berufsunfa,0.0007824720232747495
truck,0.0007823909400030971
biogas,0.0007804559427313507
wifi,0.0007802251493558288
elektronik,0.0007778751896694303
versicherungsmakler,0.0007719593122601509
intelligence,0.0007714067469350994
investment,0.0007670354680158198
genuss,0.0007647609454579651
var,0.0007638870156370103
bauen,0.0007594902999699116
geld,0.0007578218937851489
wind,0.0007569171139039099
recruitment,0.0007510081632062793
alltag,0.0007507933769375086
demo,0.0007505781832151115
medizintechnik,0.0007490237476304173
oil,0.0007476491155102849
nutzerverhaltens,0.0007448124815709889
disruption,0.0007439923356287181
investors,0.0007437095046043396
motors,0.000743302924092859
klinikum,0.0007395229185931385
webhosting,0.0007353767286986113
materials,0.0007328004576265812
china,0.0007321846205741167
chain,0.0007321524899452925
softwarelo,0.0007304339087568223
gespra,0.0007290412904694676
executive,0.0007241155253723264
zahlungsarten,0.00072406668914482
print,0.0007229814073070884
loan,0.0007213070057332516
dental,0.000717578106559813
fenster,0.0007175174541771412
seminar,0.0007144403643906116
kannst,0.0007103862008079886
metals,0.000708999577909708
crm,0.0007072189473547041
einkaufen,0.0007035966846160591
hydraulik,0.0007029596017673612
trainings,0.0007028743857517838
must,0.000702712161000818
bim,0.0007020534831099212
advertising,0.0007019100594334304
michael,0.0006999216857366264
contractors,0.0006998269236646593
rzte,0.0006995550356805325
properties,0.0006991604459472001
optimieren,0.0006986502557992935
messen,0.0006920403684489429
ethernet,0.0006915615522302687
klinik,0.000687302672304213
energie,0.0006870502256788313
ware,0.000684910046402365
rate,0.0006824470474384725
volkswagen,0.0006810365011915565
electronic,0.0006807338213548064
focused,0.0006794516230002046
