,precision,recall,f1-score,support
Automotive,0.7128712871287128,0.6813880126182965,0.6967741935483871,317.0
Construction,0.655940594059406,0.6865284974093264,0.670886075949367,386.0
Consumer Goods,0.52734375,0.5335968379446641,0.5304518664047152,506.0
Financial Services,0.7718446601941747,0.7718446601941747,0.7718446601941746,412.0
Human Resources,0.7352941176470589,0.6476683937823834,0.6887052341597796,193.0
Information Technology and Services,0.6964692482915718,0.812624584717608,0.7500766636001227,1505.0
Insurance,0.7857142857142857,0.704,0.7426160337552741,125.0
Legal Services,0.8780487804878049,0.84375,0.8605577689243028,128.0
"Leisure, Travel & Tourism",0.8416666666666667,0.8278688524590164,0.8347107438016529,122.0
Logistics and Supply Chain,0.796875,0.6938775510204082,0.7418181818181818,147.0
Machinery,0.5019607843137255,0.5069306930693069,0.5044334975369458,505.0
Management Consulting,0.6328502415458938,0.5892053973013494,0.610248447204969,667.0
Marketing and Advertising,0.670863309352518,0.7145593869731801,0.692022263450835,522.0
Mechanical or Industrial Engineering,0.5387096774193548,0.5788561525129983,0.558061821219716,577.0
Media Production,0.4666666666666667,0.31950207468879666,0.3793103448275862,241.0
Medical Practice,0.7633136094674556,0.7247191011235955,0.7435158501440922,356.0
Real Estate,0.8529411764705882,0.7372881355932204,0.7909090909090909,236.0
Recreational Facilities and Services,0.6326530612244898,0.5961538461538461,0.6138613861386137,156.0
Renewables & Environment,0.7027027027027027,0.5048543689320388,0.5875706214689265,103.0
Telecommunications,0.632183908045977,0.40145985401459855,0.4910714285714286,137.0
Wholesale,0.5213270142180095,0.47413793103448276,0.4966139954853273,232.0
accuracy,0.6590518948897399,0.6590518948897399,0.6590518948897399,0.6590518948897399
macro avg,0.6818209781722412,0.6357530634068234,0.6550504842434997,7573.0
weighted avg,0.6582982784389844,0.6590518948897399,0.6560727911168591,7573.0
