,precision,recall,f1-score,support
Automotive,0.6923076923076923,0.6529968454258676,0.672077922077922,317.0
Construction,0.6215538847117794,0.6424870466321243,0.6318471337579618,386.0
Consumer Goods,0.5285714285714286,0.5118577075098815,0.5200803212851406,506.0
Financial Services,0.7881136950904393,0.7402912621359223,0.7634543178973716,412.0
Human Resources,0.7133757961783439,0.5803108808290155,0.64,193.0
Information Technology and Services,0.6390020366598778,0.8338870431893688,0.7235514557509368,1505.0
Insurance,0.8252427184466019,0.68,0.7456140350877193,125.0
Legal Services,0.8916666666666667,0.8359375,0.8629032258064517,128.0
"Leisure, Travel & Tourism",0.8403361344537815,0.819672131147541,0.8298755186721991,122.0
Logistics and Supply Chain,0.8363636363636363,0.6258503401360545,0.7159533073929962,147.0
Machinery,0.4605009633911368,0.47326732673267324,0.466796875,505.0
Management Consulting,0.5936,0.5562218890554723,0.5743034055727555,667.0
Marketing and Advertising,0.6537753222836096,0.6800766283524904,0.6666666666666666,522.0
Mechanical or Industrial Engineering,0.5007473841554559,0.5805892547660312,0.5377207062600321,577.0
Media Production,0.4881889763779528,0.2572614107883817,0.33695652173913043,241.0
Medical Practice,0.7589285714285714,0.7162921348314607,0.7369942196531792,356.0
Real Estate,0.803921568627451,0.6949152542372882,0.7454545454545455,236.0
Recreational Facilities and Services,0.6846153846153846,0.5705128205128205,0.6223776223776224,156.0
Renewables & Environment,0.6140350877192983,0.33980582524271846,0.43750000000000006,103.0
Telecommunications,0.75,0.35036496350364965,0.47761194029850745,137.0
Wholesale,0.6423841059602649,0.41810344827586204,0.5065274151436031,232.0
accuracy,0.6364716756899511,0.6364716756899511,0.6364716756899511,0.6364716756899511
macro avg,0.6822490978099701,0.5981286530145059,0.6292508169473686,7573.0
weighted avg,0.6406640076680408,0.6364716756899511,0.6310465808694737,7573.0
