,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,216,2,14,4,4,21,0,0,0,0,15,7,4,22,0,1,0,2,0,0,5
Construction,2,265,13,5,1,19,1,1,2,1,26,9,8,12,2,3,6,3,2,0,5
Consumer Goods,14,15,270,5,0,38,0,1,2,0,35,14,11,46,5,8,1,8,6,3,24
Financial Services,6,3,5,318,0,31,11,3,0,1,0,15,4,1,3,4,1,2,2,0,2
Human Resources,2,0,2,5,125,11,0,0,1,0,5,29,6,3,1,2,0,0,0,0,1
Information Technology and Services,6,3,22,17,10,1223,2,1,2,8,18,69,33,11,40,13,2,1,1,15,8
Insurance,1,1,1,11,1,7,88,1,0,0,0,5,2,1,0,1,4,0,0,0,1
Legal Services,0,2,3,7,0,3,0,108,0,0,0,2,2,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,7,0,0,101,0,0,1,2,1,0,1,1,4,0,0,0
Logistics and Supply Chain,5,3,6,2,0,8,0,0,0,102,5,5,0,5,1,1,0,1,1,0,2
Machinery,11,28,23,1,0,30,0,0,0,2,256,4,3,116,1,8,4,0,4,2,12
Management Consulting,1,18,8,11,21,122,5,6,3,4,8,393,28,6,5,14,5,1,1,6,1
Marketing and Advertising,4,10,10,3,2,41,0,1,2,4,5,21,373,6,24,3,2,2,0,1,8
Mechanical or Industrial Engineering,20,19,40,2,1,35,1,0,0,1,82,7,2,334,1,6,1,5,1,1,18
Media Production,1,0,9,3,1,72,0,1,2,1,1,10,48,3,77,2,1,4,0,3,2
Medical Practice,2,4,13,0,0,24,2,0,0,1,9,13,4,16,0,258,1,7,1,0,1
Real Estate,0,14,5,11,1,11,2,0,2,1,2,5,4,1,1,0,174,1,0,0,1
Recreational Facilities and Services,1,1,14,1,2,6,0,0,2,0,6,3,7,8,0,6,0,93,1,0,5
Renewables & Environment,1,3,4,2,0,5,0,0,0,0,14,3,2,13,2,0,0,0,52,0,2
Telecommunications,1,4,16,0,1,36,0,0,0,1,1,3,7,4,2,0,0,1,2,55,3
Wholesale,9,8,32,3,0,6,0,0,1,1,22,3,6,11,0,7,0,12,0,1,110
