feature,value
maschinenpark,0.008418002165853977
uc,0.003143283072859049
dating,0.0013598664663732052
hörgeräte,0.0011558018159121275
seguros,0.0011505588190630078
recipes,0.0011343759251758456
fördertechnik,0.001076396438293159
outplacement,0.0009932891698554158
vermögen,0.0009836694225668907
ingredients,0.0009523448534309864
spirituosen,0.0009129825048148632
liquidität,0.0008304429356940091
sps,0.0007952354499138892
erfolgsfaktoren,0.0007771240780130029
nutzfahrzeuge,0.0007447525858879089
gebäude,0.0007396450964733958
fachhändler,0.000737858354113996
phones,0.0007374865235760808
that,0.0007330637308768928
folien,0.0007018906762823462
medizinischen,0.0006913277902640402
fassaden,0.000690906192176044
präzision,0.0006809457554481924
vermögensverwaltung,0.0006717568030580878
innenausbau,0.0006592134013772011
qualitätskontrolle,0.00065032416023314
atex,0.0006417690892703831
drinks,0.000622568535618484
projecten,0.0005953267100267112
rohre,0.0005894384812563658
arbeitnehmerüberlassung,0.000579166051466018
rechtsanwälte,0.0005683389608748257
softwarelösungen,0.0005662292242050171
wärme,0.0005651875399053097
versicherungs,0.0005567612242884934
chocolate,0.0005533653893508017
motorsport,0.0005340418429113925
retrofit,0.0005217879661358893
gu,0.0005097721004858613
meters,0.0005061550764366984
geräte,0.0004978834767825902
gewinnspiele,0.0004891185089945793
hilfsmittel,0.00048531568609178066
carte,0.000479235895909369
santé,0.00047274382086470723
geschäftsprozesse,0.0004634461074601859
ihr,0.0004593397316057235
spezialitäten,0.0004582298279274255
verfã¼gung,0.0004537899512797594
m²,0.0004485725949052721
luftfahrt,0.000443278782768175
blechbearbeitung,0.00043921321048401296
classes,0.0004389937093947083
backwaren,0.0004389905370771885
händlersuche,0.0004381032777018845
énergie,0.00042937329271808267
zubehör,0.00042341454536654055
bauelemente,0.00042263828800059855
discover,0.0004219880502205342
organisationsentwicklung,0.00041926605626940727
massage,0.00041754351695999503
inkasso,0.00041541163227520883
continuing,0.00041397445602342486
elektrischen,0.0004133382171858102
öffnungszeiten,0.0004098570207133889
groã,0.0004078592173755169
banque,0.00039696646854281425
cameras,0.0003922664327546954
personaldienstleister,0.0003918638685718179
hydraulische,0.0003904479381162673
unabhängige,0.000390430330298841
nutrition,0.0003841914003714919
führungskräften,0.0003727828443516046
paletten,0.0003682501264847815
caps,0.00036624836502596736
ärzte,0.00036608349182642996
contactez,0.0003638624621089548
sondermaschinenbau,0.0003581504861358553
gebäudetechnik,0.00035099609522148967
großhandel,0.0003507028741296381
compare,0.0003448630159255117
gebäudeautomation,0.00034397689159959555
cola,0.0003409722412470728
fräsen,0.0003405643510632217
digital,0.0003400985151529312
nuestras,0.0003293801855761558
widerrufsrecht,0.000329267350025475
einfamilienhaus,0.0003279401862528175
mobilität,0.00032749297679401934
project,0.00032379812910221517
sweet,0.00032264168839901686
werkstoffe,0.00032103960984386504
einkaufsbedingungen,0.0003203264786861837
datos,0.00031861697789281607
unterstützen,0.00031158869387581944
titan,0.00031137620680965483
elektroinstallation,0.0003086758661083877
lösung,0.0003081770264543593
krankenkasse,0.0003061972965952009
schalter,0.000304556917399168
gebrauchtmaschinen,0.0003041787713300437
finanzgruppe,0.0003023388853762299
versicherer,0.00029846836696378887
bürobedarf,0.0002983173471875489
unternehmensphilosophie,0.00029647970222868025
guest,0.0002956905518658459
textilien,0.00029357930179685354
managementberatung,0.00029317973530851305
bgm,0.0002921216073445976
wände,0.0002901795378420502
logistic,0.0002886558650061488
tassen,0.0002882001281250268
mechanische,0.00028783848392777145
lösungen,0.00028750248020514846
partenaires,0.0002873821649700403
apotheken,0.0002857721992768347
länder,0.00028175426996313035
geöffnet,0.00028039468452334404
products,0.0002785912365652621
finanzierungen,0.0002742940268944949
benchmarking,0.0002737472823355347
stromversorgung,0.000271828641416505
drill,0.0002717885945457965
betreff,0.00027107534697279334
übersichtlich,0.0002710052067413926
engineering,0.00027058349223807454
kunden,0.00026928316219709814
nähe,0.0002688709646463394
steuerungen,0.0002682592603377998
qualität,0.0002677377196960151
³ã,0.000266490678768605
laserschneiden,0.000265657581621781
kpis,0.00026429854915477335
akustik,0.00026112000341527164
möglichkeit,0.0002608673239592463
später,0.0002586096234153956
offshore,0.00025851462851278484
gehäuse,0.00025816421839408576
lã,0.000257086125202477
präzise,0.000255307590123266
extras,0.00025323385489173234
cov,0.00025209825253114104
erfüllt,0.00024675996974110603
geschäftsmodelle,0.0002465875295456499
selbstverständlich,0.00024440587731078267
start,0.0002442358818370849
verfügung,0.00024143846530932933
ordering,0.00023935393255669624
wählen,0.00023646967019885778
ready,0.00023493451590184122
foods,0.00023408482957165688
lo,0.0002334130258532241
veröffentlicht,0.00023337964375969023
könig,0.0002329905255464837
medizinprodukte,0.00023246371711138636
dialogmarketing,0.00023198823328129947
rme,0.0002318192709935829
imprint,0.00023170706117525697
producten,0.0002312258438905701
schlüssel,0.00022962730145081878
pvc,0.00022875874128658324
customised,0.00022828934015706182
software,0.00022741398424841464
drilling,0.00022731033095624298
espace,0.00022615033958572894
klinische,0.00022577504569198936
tunnel,0.00022425675706472248
ohr,0.0002237943117506802
selbstständige,0.00022296114184428006
kollektion,0.00022100262867752463
media,0.00021981849567964673
regelmäßigen,0.00021915869729127735
winkel,0.00021913557429797947
getränke,0.00021837709937244654
alarm,0.00021826584998052567
contatti,0.00021800884860567749
vous,0.0002179652510676533
küchen,0.00021615017612930387
verfu,0.00021565098722930998
fax,0.00021565071074292064
schã,0.00021483894670382142
finanzdienstleister,0.00021446612663567066
knx,0.0002137213887181133
risikomanagement,0.0002132264489773661
emv,0.00021197284513618797
überwachen,0.00021177149028517306
bank,0.0002115247625624761
ingenieurbüro,0.0002114459202857688
ansätze,0.00021112548711244017
nuclear,0.0002105260791722685
shorts,0.0002098747791023925
ausführung,0.0002098700642818585
fachkräfte,0.00020935386419296265
manufacturing,0.0002090062334900722
lehre,0.00020845678227487952
österreich,0.0002083751023747027
stationen,0.00020774701260961592
medicine,0.00020764338842127472
publishers,0.00020645848417188972
oberflächen,0.00020469524315558374
ernährung,0.00020445656264200807
fokussieren,0.00020369225239846855
errichtung,0.00020344032964203507
verwendet,0.00020311359548941255
häuser,0.00020304987265262753
exercise,0.00020164305169600993
gesetzlicher,0.00020097166998311877
kreativität,0.0001996284699998796
suchen,0.0001962296519195661
formenbau,0.0001957789936568588
gummi,0.00019478057220112532
être,0.00019420012540649623
vakuum,0.00019408779917284846
ba,0.0001937249762704596
salud,0.00019362225430086255
absolventen,0.00019339518621563911
lebensdauer,0.00019329824135638773
number,0.00019278725085314363
praktika,0.00019245699513703585
oplossingen,0.00019146734848618507
notebooks,0.00019142280507367104
kommunikationslösungen,0.00019087339751422405
bohren,0.00019040888582821935
auf,0.00018942101451102644
äº,0.0001892337459139526
rucksäcke,0.00018823838036041707
sanitär,0.00018790489411912858
lack,0.00018774824275169522
vehicle,0.00018701596127357334
headsets,0.0001858994655776769
fda,0.00018551335961092263
non,0.00018512642418500036
rund,0.00018374971114099026
hydraulic,0.00018331983301322907
hotel,0.0001824926002882421
anhänger,0.0001817800075514242
multiple,0.00018145212379749864
fiori,0.0001812480913940817
büros,0.0001810223184293136
abb,0.00018069377983920276
widerrufsbelehrung,0.00018041467410512269
projekte,0.00017988032777793705
kv,0.0001798472076188773
mens,0.00017858415958471596
servicepartner,0.00017842934175860137
intellectual,0.0001783521584002301
datenschutzhinweis,0.00017804377421271056
identification,0.00017758320609573275
são,0.00017608149209991097
handwerk,0.00017544369620736688
einführung,0.00017440752708353102
logistik,0.00017423462122678757
bakery,0.00017387379193678498
helfen,0.00017328512331005186
scannen,0.00017275036952923983
tecnologia,0.00017221928283106536
man,0.0001721555454423651
wünsche,0.00017196673434227705
energia,0.000171635823789984
tätig,0.00017147682956419885
rubber,0.00017099097021855414
diagnostic,0.0001703601737972349
gäste,0.0001703397574601695
free,0.00017032286268658936
professionalität,0.00017020500672515482
experience,0.00016967403644230217
inter,0.00016946447431109846
ausbildungsplätze,0.00016941127250902355
münchen,0.00016924040392041206
notwendige,0.00016904290532693267
platform,0.00016884053184185177
dürfen,0.00016875227447599173
unserer,0.00016830007371027023
bietet,0.00016818426956888288
du,0.00016814364062156528
taschen,0.00016808418149594218
krankenhäuser,0.0001677351538091898
geschäft,0.0001670428755460307
treppen,0.00016620128008071333
disease,0.0001660430571064353
städte,0.00016584080003667623
ende,0.00016541194054298103
szene,0.0001647597673581913
2014,0.00016433012206107378
piece,0.000164114884682931
não,0.00016319207497872412
rung,0.00016268888430204242
renovation,0.00016153414617292583
benelux,0.00016147368296515197
split,0.0001611068146303296
flooring,0.00016071282152552158
oder,0.0001605989964446053
läuft,0.00015998371236491948
vdi,0.00015939504373818636
lebensqualität,0.00015906193584669381
gehört,0.00015847102622501552
berücksichtigen,0.00015844024892430753
its,0.0001582146796863526
use,0.00015754939522594213
fernwärme,0.00015736919885966927
nachricht,0.00015598638856317848
méxico,0.00015582499327138066
fördern,0.0001554967457195744
40,0.00015454020467586815
mu,0.00015414248628076166
中文,0.00015398340474348515
step,0.00015385735605377704
unternehmerische,0.0001536683994345367
wie,0.0001535977644380182
online,0.00015326429274864495
förderungen,0.0001530376321170479
growing,0.00015292118769139051
fahrzeugbau,0.0001527587155578658
behälter,0.0001523955725133419
global,0.00015226528921630234
la,0.00015207496471703053
weitere,0.00015192863065749407
agentur,0.00015133473789319396
lcd,0.00015086059283930808
steckverbinder,0.00015058985445648432
günstig,0.00014841729716863483
büro,0.00014806220133323222
them,0.00014779808407183737
dan,0.00014773994917050004
nicht,0.0001476600009482354
sierra,0.0001476124016335234
bã,0.00014744869258720428
energiemanagement,0.00014671951066702604
data,0.00014645529154222459
ist,0.00014613973326049745
persönliche,0.0001452008873457089
letter,0.00014354022277984768
haben,0.00014353758888319135
prüfung,0.00014285203360486776
profitieren,0.00014267773076426238
ergänzen,0.0001415185834048316
gestão,0.00014125919551588595
daten,0.00014117697719484568
bring,0.00014063128037378192
einen,0.00013998019858263433
declaration,0.00013978531933389604
zarza,0.00013946142280474305
names,0.0001394403661834076
konzepten,0.00013855895667802542
più,0.00013825911446474493
kann,0.00013809370284434408
höchstem,0.00013779835717286915
bestätigen,0.00013769575161859393
60,0.00013720241258852184
sonderlösungen,0.00013691344065591693
données,0.00013679305266123265
gerät,0.00013667014718521386
sungen,0.00013614149065688252
gründen,0.0001358216832159087
domestic,0.00013541016960516572
66,0.00013511562428902835
kanban,0.0001350192615063861
zurück,0.00013494581799022853
25,0.00013491167919710279
browser,0.00013451774429995567
food,0.00013424595817923546
gemäß,0.00013410493556875736
cloud,0.00013408073573373258
wärmepumpen,0.00013401030446402729
wohnungsbau,0.00013398504233919084
geben,0.00013383491022977978
cpu,0.0001336539862677455
lösen,0.00013360954471863806
broadcast,0.00013358281285036355
melhor,0.0001332043029833585
mobilita,0.00013313793169800192
leiterplatten,0.00013313423551153392
sie,0.0001324282493442297
ses,0.00013229023898020387
inicio,0.00013186044816393405
kältetechnik,0.00013180403038859367
op,0.00013169206795282662
überblick,0.00013158543151803315
intended,0.00013082347868476063
land,0.00013065226085018367
bspw,0.00013061671052128077
hrt,0.00013043258513789624
funktionalitäten,0.00012960912135895342
seguro,0.00012921442976221442
cada,0.0001291970838792622
bereich,0.00012914476974401623
gründung,0.00012884724128525704
ändern,0.00012880573922302574
polska,0.00012861538561992347
more,0.00012856406101491302
français,0.0001282775483559817
kundenwünsche,0.0001279972930205986
nge,0.00012788678577635437
hochzeit,0.00012765833525918424
unterstützung,0.00012764976418111473
compte,0.00012744616833515465
ausgewählte,0.00012741943646688014
日本語,0.00012658756168093532
flexibilität,0.0001265137252630666
ko,0.0001261088327737525
springen,0.00012598860485013574
tweets,0.00012596981832757592
tuning,0.00012573800631798804
lite,0.00012571642582770437
uploads,0.00012570373655762523
val,0.0001255643874173984
nächste,0.00012502976460382342
surveys,0.00012495418195612729
firmengeschichte,0.00012494374823290855
immo,0.000124468031572178
ä½,0.00012442203296814114
containers,0.00012391932250466198
gegründet,0.0001232226932188496
subsea,0.00012318301014602184
eine,0.00012315965432208031
email,0.00012298642832320184
verfügbar,0.00012294227781239897
contato,0.00012258881179150194
erfahrung,0.00012256274931132793
ch,0.0001225043524755165
ansprüche,0.0001223314757226035
geba,0.00012152518320363015
lu,0.00012148419773438945
ai,0.00012143575440859422
produkte,0.00012136284203734249
zusätzlich,0.00012111222167732194
care,0.00012102175242034718
español,0.00012073983816662803
im,0.00012024081661365926
te,0.00012006468750769272
itk,0.00012001409049844369
