,precision,recall,f1-score,support
Automotive,0.7658862876254181,0.722397476340694,0.7435064935064934,317.0
Construction,0.6716417910447762,0.6994818652849741,0.6852791878172589,386.0
Consumer Goods,0.6115384615384616,0.6284584980237155,0.6198830409356726,506.0
Financial Services,0.817258883248731,0.7815533980582524,0.7990074441687345,412.0
Human Resources,0.7407407407407407,0.6217616580310881,0.676056338028169,193.0
Information Technology and Services,0.6969038565996741,0.8524916943521594,0.7668858338314406,1505.0
Insurance,0.8090909090909091,0.712,0.7574468085106384,125.0
Legal Services,0.9097744360902256,0.9453125,0.9272030651340997,128.0
"Leisure, Travel & Tourism",0.9181818181818182,0.8278688524590164,0.8706896551724137,122.0
Logistics and Supply Chain,0.7862595419847328,0.7006802721088435,0.7410071942446043,147.0
Machinery,0.5744234800838575,0.5425742574257426,0.5580448065173117,505.0
Management Consulting,0.6570048309178744,0.6116941529235382,0.6335403726708074,667.0
Marketing and Advertising,0.7188612099644128,0.7739463601532567,0.7453874538745386,522.0
Mechanical or Industrial Engineering,0.5670731707317073,0.6447140381282496,0.6034063260340633,577.0
Media Production,0.5337837837837838,0.3278008298755187,0.40616966580976865,241.0
Medical Practice,0.8085106382978723,0.7471910112359551,0.7766423357664234,356.0
Real Estate,0.8591549295774648,0.7754237288135594,0.8151447661469933,236.0
Recreational Facilities and Services,0.7428571428571429,0.6666666666666666,0.7027027027027027,156.0
Renewables & Environment,0.7361111111111112,0.5145631067961165,0.6057142857142858,103.0
Telecommunications,0.7125,0.41605839416058393,0.5253456221198157,137.0
Wholesale,0.6878612716763006,0.5129310344827587,0.5876543209876544,232.0
accuracy,0.6965535454905586,0.6965535454905586,0.6965535454905586,0.6965535454905586
macro avg,0.7297818235784292,0.6678842759676519,0.6927008437949471,7573.0
weighted avg,0.6977504907027952,0.6965535454905586,0.6925820851910736,7573.0
