,precision,recall,f1-score,support
Automotive,0.737037037037037,0.6277602523659306,0.6780238500851788,317.0
Construction,0.6443850267379679,0.6243523316062176,0.6342105263157894,386.0
Consumer Goods,0.5142857142857142,0.5335968379446641,0.5237633365664404,506.0
Financial Services,0.7873417721518987,0.7548543689320388,0.7707558859975217,412.0
Human Resources,0.7837837837837838,0.6010362694300518,0.6803519061583578,193.0
Information Technology and Services,0.6362275449101796,0.8471760797342193,0.7267027643203191,1505.0
Insurance,0.8173076923076923,0.68,0.7423580786026202,125.0
Legal Services,0.8907563025210085,0.828125,0.8582995951417005,128.0
"Leisure, Travel & Tourism",0.8389830508474576,0.8114754098360656,0.825,122.0
Logistics and Supply Chain,0.775,0.6326530612244898,0.6966292134831462,147.0
Machinery,0.4878048780487805,0.5148514851485149,0.5009633911368016,505.0
Management Consulting,0.6029411764705882,0.553223388305847,0.5770132916340891,667.0
Marketing and Advertising,0.6785714285714286,0.6915708812260536,0.6850094876660341,522.0
Mechanical or Industrial Engineering,0.5149136577708007,0.5684575389948007,0.5403624382207579,577.0
Media Production,0.4728682170542636,0.25311203319502074,0.32972972972972975,241.0
Medical Practice,0.7777777777777778,0.7078651685393258,0.7411764705882353,356.0
Real Estate,0.8629441624365483,0.7203389830508474,0.7852193995381062,236.0
Recreational Facilities and Services,0.6258992805755396,0.5576923076923077,0.5898305084745763,156.0
Renewables & Environment,0.6714285714285714,0.4563106796116505,0.5433526011560693,103.0
Telecommunications,0.7142857142857143,0.3284671532846715,0.44999999999999996,137.0
Wholesale,0.6125,0.4224137931034483,0.5000000000000001,232.0
accuracy,0.6434702231612307,0.6434702231612307,0.6434702231612307,0.6434702231612307
macro avg,0.6879544185239406,0.6054920487250557,0.6370834511816891,7573.0
weighted avg,0.6482665902321402,0.6434702231612307,0.6383869640736926,7573.0
