,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,199,2,15,4,2,27,0,0,0,2,13,11,5,29,1,0,0,1,0,1,5
Construction,1,241,15,1,1,27,1,0,3,4,31,14,7,20,0,4,7,2,3,0,4
Consumer Goods,8,15,270,5,0,58,0,1,0,0,37,7,3,59,3,4,1,12,5,2,16
Financial Services,5,2,6,311,1,39,9,3,2,1,1,20,4,1,1,3,2,1,0,0,0
Human Resources,1,1,0,2,116,26,0,1,0,0,2,31,7,2,0,3,0,1,0,0,0
Information Technology and Services,11,4,20,14,6,1275,1,1,2,5,6,64,29,16,26,12,2,3,1,6,1
Insurance,2,0,2,16,0,9,85,0,0,0,1,3,2,1,0,1,3,0,0,0,0
Legal Services,0,1,1,6,0,2,0,106,0,0,1,6,1,0,0,2,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,0,1,0,10,0,0,99,0,0,0,1,1,1,0,1,7,0,0,0
Logistics and Supply Chain,4,3,7,2,0,15,0,0,0,93,3,7,1,8,0,1,0,0,1,0,2
Machinery,10,23,24,2,0,29,0,0,1,4,260,8,3,118,0,4,3,1,5,1,9
Management Consulting,5,13,6,14,17,161,3,6,2,2,8,369,27,3,6,15,4,1,2,2,1
Marketing and Advertising,4,12,17,3,1,57,0,0,2,1,3,19,361,4,24,4,2,2,0,1,5
Mechanical or Industrial Engineering,14,11,40,1,1,52,0,0,0,3,98,12,1,328,0,4,0,4,1,0,7
Media Production,0,1,12,3,1,92,0,1,4,0,2,5,53,0,61,2,0,1,0,2,1
Medical Practice,0,1,12,1,0,33,3,0,0,1,13,14,6,15,1,252,0,3,1,0,0
Real Estate,0,19,3,6,0,13,2,0,2,2,3,9,1,1,0,3,170,1,0,0,1
Recreational Facilities and Services,0,4,14,1,1,9,0,0,1,0,6,3,7,4,1,5,0,87,3,1,9
Renewables & Environment,2,6,5,0,0,9,0,0,0,0,18,2,0,12,1,0,0,0,47,1,0
Telecommunications,0,5,16,2,1,48,0,0,0,0,3,6,5,1,1,0,0,2,1,45,1
Wholesale,4,9,40,0,0,13,0,0,0,2,24,2,8,14,2,5,0,10,0,1,98
