,precision,recall,f1-score,support
Automotive,0.0,0.0,0.0,3.0
Construction,0.0,0.0,0.0,7.0
Consumer Goods,0.0,0.0,0.0,7.0
Financial Services,0.0,0.0,0.0,2.0
Human Resources,0.0,0.0,0.0,1.0
Information Technology and Services,0.29,1.0,0.44961240310077516,29.0
Legal Services,0.0,0.0,0.0,2.0
"Leisure, Travel & Tourism",0.0,0.0,0.0,1.0
Logistics and Supply Chain,0.0,0.0,0.0,1.0
Machinery,0.0,0.0,0.0,3.0
Management Consulting,0.0,0.0,0.0,11.0
Marketing and Advertising,0.0,0.0,0.0,6.0
Mechanical or Industrial Engineering,0.0,0.0,0.0,6.0
Media Production,0.0,0.0,0.0,7.0
Medical Practice,0.0,0.0,0.0,3.0
Real Estate,0.0,0.0,0.0,7.0
Telecommunications,0.0,0.0,0.0,2.0
Wholesale,0.0,0.0,0.0,2.0
accuracy,0.29,0.29,0.29,0.29
macro avg,0.01611111111111111,0.05555555555555555,0.024978466838931953,100.0
weighted avg,0.08410000000000001,0.29,0.1303875968992248,100.0
