,precision,recall,f1-score,support
Automotive,0.8061224489795918,0.7476340694006309,0.7757774140752864,317.0
Construction,0.6955445544554455,0.727979274611399,0.7113924050632913,386.0
Consumer Goods,0.6127167630057804,0.6284584980237155,0.6204878048780488,506.0
Financial Services,0.815,0.7912621359223301,0.8029556650246306,412.0
Human Resources,0.7891566265060241,0.6787564766839378,0.7298050139275766,193.0
Information Technology and Services,0.7046688382193268,0.8624584717607974,0.7756199581714969,1505.0
Insurance,0.8245614035087719,0.752,0.7866108786610879,125.0
Legal Services,0.8880597014925373,0.9296875,0.9083969465648856,128.0
"Leisure, Travel & Tourism",0.8347107438016529,0.8278688524590164,0.8312757201646092,122.0
Logistics and Supply Chain,0.8387096774193549,0.7074829931972789,0.7675276752767528,147.0
Machinery,0.5867237687366167,0.5425742574257426,0.5637860082304527,505.0
Management Consulting,0.686541737649063,0.6041979010494752,0.64274322169059,667.0
Marketing and Advertising,0.7233273056057866,0.7662835249042146,0.744186046511628,522.0
Mechanical or Industrial Engineering,0.5883280757097792,0.6464471403812825,0.6160198183319571,577.0
Media Production,0.5333333333333333,0.33195020746887965,0.40920716112531963,241.0
Medical Practice,0.8132183908045977,0.7949438202247191,0.8039772727272727,356.0
Real Estate,0.8679245283018868,0.7796610169491526,0.8214285714285715,236.0
Recreational Facilities and Services,0.725,0.7435897435897436,0.7341772151898733,156.0
Renewables & Environment,0.7317073170731707,0.5825242718446602,0.6486486486486486,103.0
Telecommunications,0.7058823529411765,0.43795620437956206,0.5405405405405406,137.0
Wholesale,0.6666666666666666,0.5086206896551724,0.5770171149144254,232.0
accuracy,0.707777631057705,0.707777631057705,0.707777631057705,0.707777631057705
macro avg,0.7351382968671696,0.6853493833300814,0.7053133857689022,7573.0
weighted avg,0.7075802250982351,0.707777631057705,0.7034984715547424,7573.0
