,precision,recall,f1-score,support
Automotive,0.0,0.0,0.0,317.0
Construction,0.0,0.0,0.0,386.0
Consumer Goods,0.0,0.0,0.0,506.0
Financial Services,0.0,0.0,0.0,412.0
Human Resources,0.0,0.0,0.0,193.0
Information Technology and Services,0.19873233857123992,1.0,0.33157083057942277,1505.0
Insurance,0.0,0.0,0.0,125.0
Legal Services,0.0,0.0,0.0,128.0
"Leisure, Travel & Tourism",0.0,0.0,0.0,122.0
Logistics and Supply Chain,0.0,0.0,0.0,147.0
Machinery,0.0,0.0,0.0,505.0
Management Consulting,0.0,0.0,0.0,667.0
Marketing and Advertising,0.0,0.0,0.0,522.0
Mechanical or Industrial Engineering,0.0,0.0,0.0,577.0
Media Production,0.0,0.0,0.0,241.0
Medical Practice,0.0,0.0,0.0,356.0
Real Estate,0.0,0.0,0.0,236.0
Recreational Facilities and Services,0.0,0.0,0.0,156.0
Renewables & Environment,0.0,0.0,0.0,103.0
Telecommunications,0.0,0.0,0.0,137.0
Wholesale,0.0,0.0,0.0,232.0
accuracy,0.19873233857123992,0.19873233857123992,0.19873233857123992,0.19873233857123992
macro avg,0.009463444693868568,0.047619047619047616,0.015789087170448704,7573.0
weighted avg,0.039494542393993935,0.19873233857123992,0.06589384656305708,7573.0
