,precision,recall,f1-score,support
Automotive,0.7021276595744681,0.6246056782334385,0.66110183639399,317.0
Construction,0.6375661375661376,0.6243523316062176,0.6308900523560209,386.0
Consumer Goods,0.51340206185567,0.49209486166007904,0.5025227043390514,506.0
Financial Services,0.7918781725888325,0.7572815533980582,0.7741935483870968,412.0
Human Resources,0.7468354430379747,0.6113989637305699,0.6723646723646723,193.0
Information Technology and Services,0.6342315369261478,0.8445182724252491,0.7244229125106868,1505.0
Insurance,0.7657657657657657,0.68,0.7203389830508475,125.0
Legal Services,0.8974358974358975,0.8203125,0.8571428571428573,128.0
"Leisure, Travel & Tourism",0.8305084745762712,0.8032786885245902,0.8166666666666667,122.0
Logistics and Supply Chain,0.75,0.6326530612244898,0.6863468634686347,147.0
Machinery,0.470479704797048,0.504950495049505,0.4871060171919771,505.0
Management Consulting,0.6138279932546374,0.545727136431784,0.5777777777777777,667.0
Marketing and Advertising,0.6593001841620626,0.685823754789272,0.6723004694835681,522.0
Mechanical or Industrial Engineering,0.49920508744038156,0.5441941074523396,0.5207296849087893,577.0
Media Production,0.512,0.26556016597510373,0.3497267759562842,241.0
Medical Practice,0.7610619469026548,0.7247191011235955,0.7424460431654676,356.0
Real Estate,0.8333333333333334,0.7203389830508474,0.7727272727272727,236.0
Recreational Facilities and Services,0.7037037037037037,0.6089743589743589,0.6529209621993126,156.0
Renewables & Environment,0.6567164179104478,0.42718446601941745,0.5176470588235295,103.0
Telecommunications,0.7777777777777778,0.35766423357664234,0.49000000000000005,137.0
Wholesale,0.5493827160493827,0.38362068965517243,0.45177664974619297,232.0
accuracy,0.6377921563449096,0.6377921563449096,0.6377921563449096,0.6377921563449096
macro avg,0.6812638102218379,0.6028215906143206,0.6324357051743189,7573.0
weighted avg,0.6413802573533386,0.6377921563449096,0.6321781577964813,7573.0
