,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,239,2,5,3,1,14,0,0,0,1,15,8,3,19,0,0,0,1,0,2,4
Construction,1,283,15,0,1,16,0,0,2,1,21,8,7,14,0,2,7,1,4,0,3
Consumer Goods,8,14,323,3,0,39,0,1,1,1,21,11,3,39,5,5,1,12,4,2,13
Financial Services,6,2,3,326,0,37,13,3,0,0,0,12,1,0,2,3,1,1,1,1,0
Human Resources,0,0,1,3,132,15,0,1,1,0,3,27,5,0,0,4,0,0,0,0,1
Information Technology and Services,4,2,16,12,6,1297,2,3,3,5,7,48,24,10,34,10,5,3,0,11,3
Insurance,0,0,0,13,0,9,94,0,0,0,0,2,2,1,0,1,3,0,0,0,0
Legal Services,0,0,1,7,0,1,0,118,0,0,0,0,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,0,7,0,0,102,0,0,1,2,0,0,0,1,4,0,0,0
Logistics and Supply Chain,3,1,4,1,0,9,1,0,0,105,3,4,0,8,2,1,0,0,1,0,4
Machinery,8,22,14,1,0,21,0,0,1,1,273,9,1,124,0,5,4,2,6,1,12
Management Consulting,2,16,7,11,20,134,3,6,1,1,4,408,24,3,6,12,2,1,2,3,1
Marketing and Advertising,2,10,11,3,0,39,0,0,1,3,0,17,407,4,14,4,1,2,0,0,4
Mechanical or Industrial Engineering,13,21,37,1,2,31,0,0,0,3,75,6,1,371,2,5,0,2,0,0,7
Media Production,0,0,10,3,4,73,0,1,3,1,0,6,50,2,80,2,0,2,0,3,1
Medical Practice,0,1,8,1,0,26,2,0,0,1,6,13,4,8,0,281,0,4,1,0,0
Real Estate,1,15,4,7,0,8,1,0,3,1,1,3,5,2,1,1,182,1,0,0,0
Recreational Facilities and Services,0,2,6,0,1,6,0,0,3,0,2,1,4,3,0,5,0,118,1,1,3
Renewables & Environment,1,2,5,1,0,4,0,0,0,0,15,2,0,11,1,0,0,0,61,0,0
Telecommunications,0,4,14,0,1,40,0,0,0,0,1,2,8,1,2,0,0,0,1,61,2
Wholesale,5,7,34,2,0,8,0,0,0,1,17,3,9,11,0,7,0,9,0,1,118
