,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,198,3,17,4,2,29,0,0,0,2,12,8,8,28,0,0,0,1,0,1,4
Construction,1,245,19,3,0,24,0,0,1,2,25,15,12,16,0,3,14,0,2,0,4
Consumer Goods,13,17,266,5,0,50,0,0,1,1,39,7,5,56,2,6,3,10,6,2,17
Financial Services,8,1,3,302,0,43,14,4,2,1,1,20,2,2,2,4,2,1,0,0,0
Human Resources,0,0,0,0,117,22,0,0,0,0,2,35,7,4,0,5,0,1,0,0,0
Information Technology and Services,10,4,11,18,7,1270,0,2,4,8,11,57,21,13,27,19,5,5,2,7,4
Insurance,1,1,0,14,0,10,88,0,0,1,1,1,3,1,0,2,2,0,0,0,0
Legal Services,0,1,2,3,0,2,0,111,0,0,0,5,0,1,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,0,1,0,9,0,0,100,0,0,2,1,1,1,0,1,6,0,0,0
Logistics and Supply Chain,2,3,7,1,1,13,0,0,0,92,5,7,2,7,1,1,0,0,1,0,4
Machinery,13,21,20,2,0,27,0,0,1,3,267,5,2,114,1,7,3,1,5,1,12
Management Consulting,2,15,5,12,16,152,4,6,2,2,5,381,28,4,6,15,5,1,3,2,1
Marketing and Advertising,4,8,13,1,2,60,0,0,2,2,0,23,364,3,22,4,3,3,0,2,6
Mechanical or Industrial Engineering,14,13,35,2,0,52,0,0,0,4,104,10,5,317,0,9,0,4,2,0,6
Media Production,0,1,10,4,2,91,0,1,3,0,0,5,53,0,62,3,0,1,0,1,4
Medical Practice,0,5,8,1,1,35,3,0,1,1,11,13,4,14,2,251,1,2,1,1,1
Real Estate,0,17,4,5,1,14,2,2,2,1,2,7,2,2,0,3,171,0,0,0,1
Recreational Facilities and Services,0,2,18,0,1,7,1,0,1,0,7,3,10,3,0,4,0,89,2,1,7
Renewables & Environment,1,5,6,0,0,11,0,0,0,0,18,3,0,11,0,2,0,0,46,0,0
Telecommunications,1,4,15,3,1,44,0,0,0,0,6,7,6,4,0,0,0,0,1,45,0
Wholesale,6,13,34,1,0,16,0,0,1,3,25,1,11,16,2,6,0,7,1,1,88
