,precision,recall,f1-score,support
Automotive,0.7377049180327869,0.7097791798107256,0.7234726688102893,317.0
Construction,0.7606060606060606,0.6502590673575129,0.7011173184357542,386.0
Consumer Goods,0.5485519591141397,0.6363636363636364,0.5892040256175664,506.0
Financial Services,0.8141361256544503,0.7548543689320388,0.7833753148614611,412.0
Human Resources,0.816793893129771,0.5544041450777202,0.6604938271604939,193.0
Information Technology and Services,0.6321342925659472,0.8757475083056478,0.7342618384401115,1505.0
Insurance,0.8543689320388349,0.704,0.7719298245614036,125.0
Legal Services,0.896,0.875,0.8853754940711464,128.0
"Leisure, Travel & Tourism",0.864406779661017,0.8360655737704918,0.85,122.0
Logistics and Supply Chain,0.853448275862069,0.673469387755102,0.7528517110266159,147.0
Machinery,0.5303030303030303,0.5544554455445545,0.5421103581800581,505.0
Management Consulting,0.5984375,0.5742128935532234,0.5860749808722264,667.0
Marketing and Advertising,0.6633165829145728,0.7586206896551724,0.7077747989276139,522.0
Mechanical or Industrial Engineering,0.5756521739130435,0.5736568457538995,0.5746527777777779,577.0
Media Production,0.56,0.17427385892116182,0.26582278481012656,241.0
Medical Practice,0.8214285714285714,0.7106741573033708,0.7620481927710843,356.0
Real Estate,0.8888888888888888,0.711864406779661,0.7905882352941177,236.0
Recreational Facilities and Services,0.7007299270072993,0.6153846153846154,0.6552901023890786,156.0
Renewables & Environment,0.8032786885245902,0.47572815533980584,0.5975609756097562,103.0
Telecommunications,0.7540983606557377,0.3357664233576642,0.46464646464646464,137.0
Wholesale,0.7666666666666667,0.39655172413793105,0.5227272727272728,232.0
accuracy,0.669615740129407,0.669615740129407,0.669615740129407,0.669615740129407
macro avg,0.7352834108079753,0.6262443849097112,0.6629228079519248,7573.0
weighted avg,0.6810509987586197,0.669615740129407,0.6620801924688579,7573.0
