,precision,recall,f1-score,support
Automotive,0.8053097345132744,0.5741324921135647,0.6703499079189686,317.0
Construction,0.664576802507837,0.5492227979274611,0.6014184397163119,386.0
Consumer Goods,0.47322970639032813,0.541501976284585,0.5050691244239631,506.0
Financial Services,0.7723577235772358,0.691747572815534,0.729833546734955,412.0
Human Resources,0.765625,0.5077720207253886,0.6105919003115265,193.0
Information Technology and Services,0.5634991119005328,0.8431893687707641,0.6755389938780941,1505.0
Insurance,0.7714285714285715,0.648,0.7043478260869566,125.0
Legal Services,0.8918918918918919,0.7734375,0.8284518828451882,128.0
"Leisure, Travel & Tourism",0.8032786885245902,0.8032786885245902,0.8032786885245902,122.0
Logistics and Supply Chain,0.7884615384615384,0.5578231292517006,0.6533864541832669,147.0
Machinery,0.49130434782608695,0.44752475247524753,0.4683937823834197,505.0
Management Consulting,0.516380655226209,0.4962518740629685,0.5061162079510703,667.0
Marketing and Advertising,0.6157989228007181,0.657088122605364,0.6357738646895273,522.0
Mechanical or Industrial Engineering,0.48497854077253216,0.587521663778163,0.5313479623824452,577.0
Media Production,0.3548387096774194,0.0912863070539419,0.14521452145214522,241.0
Medical Practice,0.7992957746478874,0.6376404494382022,0.7093750000000001,356.0
Real Estate,0.8097826086956522,0.6313559322033898,0.7095238095238094,236.0
Recreational Facilities and Services,0.7215189873417721,0.36538461538461536,0.4851063829787233,156.0
Renewables & Environment,0.7547169811320755,0.3883495145631068,0.5128205128205128,103.0
Telecommunications,0.6417910447761194,0.31386861313868614,0.42156862745098034,137.0
Wholesale,0.5174418604651163,0.38362068965517243,0.44059405940594065,232.0
accuracy,0.6002905057440908,0.6002905057440908,0.6002905057440908,0.6002905057440908
macro avg,0.6670241525027327,0.5471427657510688,0.5880048331267806,7573.0
weighted avg,0.6131064146348818,0.6002905057440908,0.5915225327909841,7573.0
