,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,225,1,15,3,1,21,0,0,0,1,18,10,2,16,0,1,0,1,0,0,2
Construction,3,251,15,0,1,33,0,0,3,2,28,12,8,17,0,1,8,0,3,0,1
Consumer Goods,12,7,322,3,0,47,0,1,0,0,27,12,9,33,1,6,1,11,2,4,8
Financial Services,8,1,3,311,0,46,9,1,0,0,2,24,3,0,0,1,0,1,1,1,0
Human Resources,0,0,1,1,107,35,0,0,0,0,2,35,5,2,1,3,0,0,0,0,1
Information Technology and Services,8,2,19,12,5,1318,0,3,3,4,5,57,28,6,20,7,2,2,0,3,1
Insurance,1,0,0,15,0,11,88,0,0,0,1,6,1,1,0,0,1,0,0,0,0
Legal Services,0,1,0,4,0,4,0,112,0,0,1,5,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,8,0,0,102,0,0,1,2,0,0,1,1,4,0,0,0
Logistics and Supply Chain,5,0,2,1,0,15,0,0,0,99,8,5,0,8,1,1,0,0,1,0,1
Machinery,8,13,23,2,0,35,0,0,0,1,280,19,3,104,0,5,2,2,2,0,6
Management Consulting,3,10,8,11,15,168,2,6,1,2,4,383,33,4,2,9,2,1,1,1,1
Marketing and Advertising,6,4,10,2,0,63,0,0,2,0,1,14,396,6,7,5,1,2,1,1,1
Mechanical or Industrial Engineering,14,17,44,2,0,47,0,0,0,1,99,11,3,331,0,3,0,2,1,0,2
Media Production,0,0,13,1,0,89,0,1,2,2,2,9,72,2,42,1,1,1,0,3,0
Medical Practice,2,0,17,3,0,35,3,0,0,1,5,15,3,14,0,253,0,5,0,0,0
Real Estate,3,12,5,8,0,23,1,0,3,1,4,5,3,0,0,0,168,0,0,0,0
Recreational Facilities and Services,0,1,16,1,1,10,0,0,2,1,5,4,6,6,0,4,0,96,0,1,2
Renewables & Environment,1,2,10,0,0,10,0,0,0,0,15,4,2,10,0,0,0,0,49,0,0
Telecommunications,0,3,14,1,1,53,0,0,0,0,2,5,8,1,0,0,1,0,0,46,2
Wholesale,6,4,49,0,0,14,0,1,0,1,19,4,10,14,1,7,0,9,0,1,92
