,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,182,3,18,0,0,35,1,0,0,2,14,12,8,34,0,0,1,1,0,0,6
Construction,1,212,24,0,1,45,1,0,7,2,27,23,5,18,0,2,11,0,3,0,4
Consumer Goods,6,10,274,3,0,71,1,1,1,0,25,12,9,64,0,4,0,6,1,3,15
Financial Services,8,2,7,285,0,56,9,3,0,0,3,22,2,2,1,4,6,0,1,0,1
Human Resources,0,1,2,1,98,35,0,1,2,1,2,37,7,4,0,2,0,0,0,0,0
Information Technology and Services,5,1,20,17,2,1269,1,2,3,5,12,61,27,25,21,13,3,2,1,11,4
Insurance,0,0,1,13,0,17,81,0,0,0,0,8,0,1,0,1,3,0,0,0,0
Legal Services,0,2,0,7,0,9,0,99,0,1,1,7,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,1,0,98,0,0,1,0,1,0,0,2,3,0,0,0
Logistics and Supply Chain,3,5,3,3,2,22,0,0,0,82,7,8,3,7,1,0,0,0,0,0,1
Machinery,5,19,25,2,0,53,0,0,1,3,226,13,6,134,0,2,2,0,1,1,12
Management Consulting,1,15,9,15,21,189,3,4,3,3,9,331,39,5,3,8,3,1,1,2,2
Marketing and Advertising,3,8,16,3,1,86,1,0,1,1,5,27,343,1,11,5,2,0,1,1,6
Mechanical or Industrial Engineering,5,10,53,1,1,64,0,0,0,0,72,12,1,339,1,5,0,1,3,0,9
Media Production,0,1,14,3,1,99,0,1,2,0,0,9,80,2,22,3,0,1,0,3,0
Medical Practice,0,3,14,0,0,53,4,0,0,1,7,22,0,20,0,227,1,1,0,0,3
Real Estate,0,12,3,15,0,34,1,0,3,2,0,11,5,0,0,0,149,0,0,0,1
Recreational Facilities and Services,0,0,25,0,0,16,0,0,1,0,10,11,8,6,0,4,0,57,0,1,17
Renewables & Environment,0,4,6,0,0,14,0,0,0,0,21,3,2,13,0,0,0,0,40,0,0
Telecommunications,1,3,16,0,0,56,0,0,0,0,3,6,3,3,0,0,0,0,1,43,2
Wholesale,6,7,48,0,1,16,1,0,0,1,16,5,8,20,2,4,0,6,0,2,89
