,precision,recall,f1-score,support
Automotive,0.6178010471204188,0.3722397476340694,0.4645669291338583,317.0
Construction,0.6460176991150443,0.37823834196891193,0.47712418300653603,386.0
Consumer Goods,0.4298245614035088,0.38735177865612647,0.4074844074844075,506.0
Financial Services,0.6857142857142857,0.5825242718446602,0.6299212598425197,412.0
Human Resources,0.7295081967213115,0.46113989637305697,0.5650793650793651,193.0
Information Technology and Services,0.36331673014942867,0.8239202657807309,0.5042700284668564,1505.0
Insurance,0.7627118644067796,0.36,0.48913043478260865,125.0
Legal Services,0.7816091954022989,0.53125,0.6325581395348837,128.0
"Leisure, Travel & Tourism",0.8556701030927835,0.680327868852459,0.7579908675799086,122.0
Logistics and Supply Chain,0.594059405940594,0.40816326530612246,0.48387096774193544,147.0
Machinery,0.43973941368078173,0.26732673267326734,0.33251231527093594,505.0
Management Consulting,0.5020576131687243,0.3658170914542729,0.4232437120555074,667.0
Marketing and Advertising,0.6117136659436009,0.5402298850574713,0.5737538148524924,522.0
Mechanical or Industrial Engineering,0.46246973365617433,0.3310225303292894,0.38585858585858585,577.0
Media Production,0.37012987012987014,0.23651452282157676,0.2886075949367089,241.0
Medical Practice,0.6481481481481481,0.39325842696629215,0.48951048951048953,356.0
Real Estate,0.8106060606060606,0.4533898305084746,0.5815217391304348,236.0
Recreational Facilities and Services,0.4891304347826087,0.28846153846153844,0.3629032258064516,156.0
Renewables & Environment,0.5918367346938775,0.2815533980582524,0.3815789473684211,103.0
Telecommunications,0.5172413793103449,0.21897810218978103,0.3076923076923077,137.0
Wholesale,0.4368932038834951,0.1939655172413793,0.26865671641791045,232.0
accuracy,0.47405255513006733,0.47405255513006733,0.47405255513006733,0.47405255513006733
macro avg,0.5879142546223877,0.40741300057989205,0.46703981102633935,7573.0
weighted avg,0.5260440748819086,0.47405255513006733,0.46542597383154566,7573.0
