,precision,recall,f1-score,support
Automotive,0.7006802721088435,0.3249211356466877,0.44396551724137934,317.0
Construction,0.5893719806763285,0.3160621761658031,0.41146711635750416,386.0
Consumer Goods,0.4912891986062718,0.27865612648221344,0.3556116015132409,506.0
Financial Services,0.8023255813953488,0.5024271844660194,0.617910447761194,412.0
Human Resources,0.7916666666666666,0.39378238341968913,0.5259515570934256,193.0
Information Technology and Services,0.3037122969837587,0.8697674418604651,0.4502149613069647,1505.0
Insurance,0.7457627118644068,0.352,0.47826086956521735,125.0
Legal Services,0.8461538461538461,0.515625,0.6407766990291262,128.0
"Leisure, Travel & Tourism",0.7623762376237624,0.6311475409836066,0.6905829596412556,122.0
Logistics and Supply Chain,0.8125,0.35374149659863946,0.4928909952606635,147.0
Machinery,0.42084942084942084,0.21584158415841584,0.28534031413612565,505.0
Management Consulting,0.6142857142857143,0.32233883058470764,0.4228121927236971,667.0
Marketing and Advertising,0.6434977578475336,0.5498084291187739,0.5929752066115702,522.0
Mechanical or Industrial Engineering,0.4332425068119891,0.2755632582322357,0.33686440677966106,577.0
Media Production,0.48214285714285715,0.11203319502074689,0.18181818181818182,241.0
Medical Practice,0.7593984962406015,0.28370786516853935,0.4130879345603272,356.0
Real Estate,0.856,0.4533898305084746,0.592797783933518,236.0
Recreational Facilities and Services,0.4794520547945205,0.22435897435897437,0.3056768558951965,156.0
Renewables & Environment,0.5957446808510638,0.27184466019417475,0.37333333333333335,103.0
Telecommunications,0.7777777777777778,0.15328467153284672,0.25609756097560976,137.0
Wholesale,0.42168674698795183,0.15086206896551724,0.2222222222222222,232.0
accuracy,0.43853162551168623,0.43853162551168623,0.43853162551168623,0.43853162551168623
macro avg,0.6347579431270793,0.3595792311174538,0.4328885103694958,7573.0
weighted avg,0.5532633688745802,0.43853162551168623,0.428528490835929,7573.0
