,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,118,4,24,6,1,105,0,0,0,2,12,11,4,16,3,4,0,0,3,1,3
Construction,3,146,20,8,0,135,0,2,2,2,17,12,10,16,2,3,3,2,0,0,3
Consumer Goods,11,13,196,8,0,160,0,1,1,2,17,8,13,27,6,9,1,12,3,3,15
Financial Services,4,2,5,240,2,108,6,1,0,1,6,14,8,3,1,3,2,1,1,2,2
Human Resources,1,1,1,3,89,58,0,0,0,0,1,27,5,0,2,2,0,0,0,2,1
Information Technology and Services,6,10,27,16,8,1240,2,3,3,6,9,65,26,17,38,9,1,4,2,12,1
Insurance,2,1,2,10,0,50,45,0,1,2,1,4,0,4,0,0,2,0,0,0,1
Legal Services,0,1,2,3,0,42,0,68,0,0,1,5,2,2,0,0,1,1,0,0,0
"Leisure, Travel & Tourism",1,0,1,1,2,22,0,1,83,0,1,0,2,2,0,0,3,3,0,0,0
Logistics and Supply Chain,3,2,5,1,0,58,0,0,0,60,1,1,5,8,0,1,0,0,0,0,2
Machinery,7,9,38,6,2,187,0,1,0,3,135,16,8,74,0,8,2,2,4,0,3
Management Consulting,1,3,8,12,8,326,2,5,0,3,4,244,20,6,5,11,3,0,2,0,4
Marketing and Advertising,5,1,9,4,1,156,0,1,4,2,3,15,282,2,26,5,2,0,1,2,1
Mechanical or Industrial Engineering,11,16,35,3,1,206,0,1,0,5,50,18,8,191,3,9,1,3,2,3,11
Media Production,0,1,9,2,3,104,0,1,1,1,2,13,40,3,57,1,1,1,0,1,0
Medical Practice,4,3,15,6,1,136,2,0,0,3,6,10,6,11,4,140,0,6,1,0,2
Real Estate,2,4,6,14,0,75,1,0,1,1,2,13,2,3,2,1,107,0,1,0,1
Recreational Facilities and Services,1,1,10,1,1,67,0,0,0,1,8,4,3,5,1,1,1,45,0,1,5
Renewables & Environment,3,3,9,3,0,24,1,1,0,0,12,2,3,11,0,1,0,0,29,1,0
Telecommunications,0,1,7,1,1,76,0,0,0,1,2,2,7,1,2,0,1,2,0,30,3
Wholesale,8,4,27,2,2,78,0,1,1,6,17,2,7,11,2,8,1,10,0,0,45
