,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,103,4,12,1,1,160,0,0,2,0,13,4,3,10,0,0,0,0,0,0,4
Construction,1,122,7,3,0,202,0,0,3,1,9,5,2,15,0,0,8,1,2,1,4
Consumer Goods,6,14,141,1,0,233,0,0,1,0,22,3,4,40,2,2,0,14,5,1,17
Financial Services,4,0,1,207,2,162,7,2,1,0,4,10,3,3,1,0,3,1,1,0,0
Human Resources,0,1,0,2,76,83,0,0,0,0,0,21,6,2,0,0,0,0,0,0,2
Information Technology and Services,9,7,16,10,4,1309,4,4,8,2,6,49,38,19,10,4,1,1,1,2,1
Insurance,0,0,0,7,1,70,44,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Legal Services,0,0,0,2,0,57,0,66,0,0,0,1,0,1,0,1,0,0,0,0,0
"Leisure, Travel & Tourism",0,0,0,0,0,39,0,0,77,0,0,1,0,1,0,0,2,2,0,0,0
Logistics and Supply Chain,2,2,2,0,0,79,1,0,0,52,0,2,0,4,0,0,0,0,0,0,3
Machinery,6,11,19,1,0,274,0,0,0,1,109,8,2,61,1,1,0,1,4,1,5
Management Consulting,0,5,2,13,10,371,1,4,0,0,1,215,21,10,2,10,1,0,1,0,0
Marketing and Advertising,2,4,9,0,0,192,0,0,6,0,1,4,287,0,10,2,1,1,1,0,2
Mechanical or Industrial Engineering,9,21,27,1,0,281,0,0,0,2,55,3,3,159,0,4,1,3,4,0,4
Media Production,1,2,3,1,1,127,0,0,0,1,0,8,60,1,27,3,0,4,0,1,1
Medical Practice,2,1,5,0,1,203,1,0,0,2,8,7,4,16,0,101,0,4,0,0,1
Real Estate,0,3,0,6,0,109,1,1,1,1,2,3,1,0,0,0,107,0,0,0,1
Recreational Facilities and Services,0,1,10,0,0,96,0,0,1,0,4,1,0,5,1,0,0,35,0,0,2
Renewables & Environment,0,4,4,1,0,46,0,0,0,0,13,1,0,6,0,0,0,0,28,0,0
Telecommunications,0,0,2,2,0,95,0,1,0,1,1,4,5,2,1,1,0,0,0,21,1
Wholesale,2,5,27,0,0,122,0,0,1,1,11,0,6,12,1,3,0,6,0,0,35
