feature,value
firmenkunden,0.01870058663189411
werbeagentur,0.004028530791401863
bank,0.0036720961797982454
steuerberatung,0.003464823355898261
volksbank,0.003123128553852439
cloud,0.0030684717930853367
immobilienmakler,0.0029568467289209366
agence,0.0027066697366535664
architekten,0.0026725127827376127
patienten,0.0025681655388325453
software,0.00256116664968431
vehicles,0.002545274794101715
unternehmensberatung,0.002512139966711402
personalvermittlung,0.0024467245675623417
hausverwaltung,0.002431574510410428
zeitarbeit,0.0023983849678188562
credit,0.002254235791042447
softwarelösungen,0.0021773092448711395
architektur,0.0021603372879326344
construction,0.0021004558075219393
architecture,0.0020430712029337883
managementberatung,0.002034167991951108
zutaten,0.002009856514632702
baufinanzierung,0.0020030979067087173
steuerberater,0.001962808193638921
strom,0.0019405919592827559
asset,0.001899834955111146
werbung,0.0018484517931938171
hotel,0.0018448376795277
cars,0.0018423551227897406
it,0.0018020119750872254
therapie,0.0017922106198966503
systemhaus,0.0017867120914161205
immobilien,0.001779046026058495
loan,0.0017632729141041636
banking,0.0017445973353460431
wohnungen,0.0017409872962161899
lives,0.0017348539549857378
electronics,0.0017335190204903483
diseases,0.0017269478412345052
estate,0.0017197151901200414
infrastrukturen,0.0017100926488637924
werkzeugbau,0.001690749661065638
tiefbau,0.0016757328994572163
mode,0.0016565786208957434
gebrauchtwagen,0.0016520241042599082
arzneimittel,0.0016420698957517743
marketing,0.0015840573469176888
finanzpartner,0.001581268385052681
resort,0.0015439281705766916
healthcare,0.0015218522166833282
leuchten,0.0015052990056574345
sondermaschinen,0.0015042353188619018
bauunternehmen,0.0015038857236504555
car,0.001500037731602788
bauen,0.0014969768235459924
arzneimitteln,0.0014879151713103056
kliniken,0.0014804399106651545
law,0.0014787687687203288
suchmaschinenoptimierung,0.00147591857239604
kredit,0.001475513563491404
logistics,0.0014605510514229536
kanzlei,0.0014583279844373465
dealer,0.0014367307303473353
vehicle,0.00143073545768857
stadtwerke,0.0014284842181950808
autohaus,0.0014227754436433315
anlagen,0.0014133690856397152
elektrotechnik,0.0014004783006384969
insurance,0.0013796014245599508
organisaties,0.0013685497688129544
contractors,0.0013683708384633064
sparkassen,0.00136810343246907
agency,0.001357648172415793
finanzberatung,0.0013460993068292737
beratungsunternehmen,0.0013446069788187742
versicherungsmakler,0.0013443268835544586
gas,0.0013240397674962878
elektronik,0.0013168931473046541
trading,0.0013107177801430225
geschmack,0.0013099388452246785
automation,0.001295566908083856
patients,0.0012942570028826594
leiterplatten,0.0012726957211270928
vermögensverwaltung,0.0012707101413980126
automobilindustrie,0.001261240802705288
versorgung,0.0012567146914079785
medizintechnik,0.0012528513325378299
apotheke,0.0012488510692492127
personalberatung,0.0012471467489376664
verpackungsmaschinen,0.001246012863703072
filialen,0.0012426360044628382
fachgroßhandel,0.001227609347552061
agentur,0.0012142846826463938
webentwicklung,0.0012038499116897583
user,0.0012006534961983562
health,0.0011904191924259067
therapy,0.0011875837808474898
fenster,0.0011833584867417812
distributor,0.0011798557825386524
trucks,0.0011328186374157667
haustüren,0.0011297325836494565
hôtel,0.001124096685089171
research,0.0011228134389966726
connectivity,0.0011212097015231848
architects,0.0011197307612746954
lighting,0.00111482257489115
cancer,0.0011128787882626057
metallverarbeitung,0.0011076520895585418
rechtsberatung,0.0010962794767692685
automobile,0.0010945636313408613
physiotherapie,0.0010907779214903712
weine,0.0010808061342686415
elektroinstallation,0.0010806332575157285
investmentfonds,0.0010771416127681732
gebäudeautomation,0.0010713693918660283
personaldienstleister,0.0010694863740354776
systemlösungen,0.001068354002200067
medicine,0.0010676488745957613
fitness,0.0010655246442183852
store,0.0010564757976680994
forderungsmanagement,0.001051464001648128
gewerbeimmobilien,0.00104685896076262
transport,0.0010458503384143114
internetagentur,0.0010349954245612025
maschinen,0.0010268241167068481
cabinet,0.001019907183945179
pumps,0.0010131052695214748
softwarelösung,0.0009973348351195455
snacks,0.0009963964112102985
umzug,0.0009878810960799456
großhandel,0.000983753358013928
nutzfahrzeuge,0.0009825967717915773
zeiterfassung,0.0009816610254347324
medizinprodukte,0.0009768735617399216
