,precision,recall,f1-score,support
Automotive,0.762962962962963,0.6498422712933754,0.7018739352640544,317.0
Construction,0.7515337423312883,0.6347150259067358,0.6882022471910113,386.0
Consumer Goods,0.5104166666666666,0.6778656126482213,0.5823429541595925,506.0
Financial Services,0.7969543147208121,0.7621359223300971,0.7791563275434243,412.0
Human Resources,0.8235294117647058,0.5803108808290155,0.6808510638297871,193.0
Information Technology and Services,0.613314447592068,0.8631229235880399,0.7170852884349986,1505.0
Insurance,0.84375,0.648,0.7330316742081449,125.0
Legal Services,0.8934426229508197,0.8515625,0.8719999999999999,128.0
"Leisure, Travel & Tourism",0.8839285714285714,0.8114754098360656,0.8461538461538461,122.0
Logistics and Supply Chain,0.8461538461538461,0.673469387755102,0.75,147.0
Machinery,0.5467775467775468,0.5207920792079208,0.5334685598377282,505.0
Management Consulting,0.6264090177133655,0.5832083958020989,0.6040372670807453,667.0
Marketing and Advertising,0.7142857142857143,0.7088122605363985,0.7115384615384616,522.0
Mechanical or Industrial Engineering,0.5629251700680272,0.5736568457538995,0.5682403433476395,577.0
Media Production,0.4744525547445255,0.2697095435684647,0.3439153439153439,241.0
Medical Practice,0.8163934426229508,0.699438202247191,0.7534039334341907,356.0
Real Estate,0.9021739130434783,0.7033898305084746,0.7904761904761904,236.0
Recreational Facilities and Services,0.6911764705882353,0.6025641025641025,0.6438356164383562,156.0
Renewables & Environment,0.8,0.42718446601941745,0.5569620253164557,103.0
Telecommunications,0.7241379310344828,0.30656934306569344,0.4307692307692308,137.0
Wholesale,0.6771653543307087,0.3706896551724138,0.4791086350974931,232.0
accuracy,0.6610326158721774,0.6610326158721774,0.6610326158721774,0.6610326158721774
macro avg,0.7267563667514656,0.6151673646967966,0.6555453782874616,7573.0
weighted avg,0.6745843690173308,0.6610326158721774,0.6560643650246661,7573.0
