,precision,recall,f1-score,support
Automotive,0.7837837837837838,0.5488958990536278,0.6456400742115027,317.0
Construction,0.6677316293929713,0.5414507772020726,0.597997138769671,386.0
Consumer Goods,0.45662847790507366,0.5513833992094862,0.4995523724261415,506.0
Financial Services,0.7888888888888889,0.6893203883495146,0.7357512953367875,412.0
Human Resources,0.7863247863247863,0.47668393782383417,0.5935483870967742,193.0
Information Technology and Services,0.5670840787119857,0.8425249169435216,0.677893611333868,1505.0
Insurance,0.7818181818181819,0.688,0.7319148936170212,125.0
Legal Services,0.8918918918918919,0.7734375,0.8284518828451882,128.0
"Leisure, Travel & Tourism",0.8166666666666667,0.8032786885245902,0.8099173553719008,122.0
Logistics and Supply Chain,0.81,0.5510204081632653,0.6558704453441295,147.0
Machinery,0.4861751152073733,0.4178217821782178,0.4494142705005325,505.0
Management Consulting,0.5235204855842185,0.5172413793103449,0.5203619909502263,667.0
Marketing and Advertising,0.6436363636363637,0.6781609195402298,0.6604477611940299,522.0
Mechanical or Industrial Engineering,0.4660056657223796,0.5701906412478336,0.5128604832424006,577.0
Media Production,0.45454545454545453,0.14522821576763487,0.22012578616352205,241.0
Medical Practice,0.8050541516245487,0.6264044943820225,0.7045813586097947,356.0
Real Estate,0.8256410256410256,0.6822033898305084,0.7470997679814385,236.0
Recreational Facilities and Services,0.7162162162162162,0.33974358974358976,0.46086956521739125,156.0
Renewables & Environment,0.6833333333333333,0.39805825242718446,0.5030674846625767,103.0
Telecommunications,0.6379310344827587,0.27007299270072993,0.37948717948717947,137.0
Wholesale,0.5081967213114754,0.40086206896551724,0.4481927710843373,232.0
accuracy,0.6010827941370659,0.6010827941370659,0.6010827941370659,0.6010827941370659
macro avg,0.6714797120328275,0.5481896972077964,0.589668851211734,7573.0
weighted avg,0.6174663155424874,0.6010827941370659,0.5933613376734773,7573.0
