,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,206,0,22,3,1,25,0,1,0,1,13,13,4,21,2,0,0,0,0,1,4
Construction,0,245,26,1,1,27,0,0,3,2,27,12,6,23,0,4,5,1,2,0,1
Consumer Goods,8,9,343,5,0,50,1,1,0,0,22,11,2,28,1,4,0,13,1,0,7
Financial Services,5,1,6,314,1,43,9,3,0,0,1,16,2,3,1,1,1,2,1,2,0
Human Resources,0,0,0,1,112,32,0,0,0,0,2,34,5,1,2,2,0,0,0,1,1
Information Technology and Services,6,4,26,15,4,1299,0,2,4,5,7,56,22,11,28,7,2,1,0,6,0
Insurance,1,0,1,15,0,20,81,0,0,0,2,4,0,1,0,0,0,0,0,0,0
Legal Services,0,1,0,4,0,3,0,109,0,0,1,7,0,1,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,12,0,0,99,0,0,0,1,0,0,0,1,4,0,0,1
Logistics and Supply Chain,5,2,7,0,0,17,0,0,0,99,4,4,1,5,1,0,0,0,1,0,1
Machinery,10,11,36,0,0,42,0,0,0,2,263,19,1,104,0,4,3,1,2,0,7
Management Consulting,3,9,10,11,17,165,2,5,0,0,4,389,27,4,4,9,3,1,2,2,0
Marketing and Advertising,2,6,15,2,0,65,0,0,2,1,7,12,370,5,27,5,0,1,0,0,2
Mechanical or Industrial Engineering,13,16,53,0,0,56,0,0,0,2,74,8,2,331,2,6,0,3,2,1,8
Media Production,0,0,13,1,0,92,0,1,1,1,1,12,49,0,65,1,0,1,0,2,1
Medical Practice,3,0,16,1,0,41,2,0,0,2,4,11,1,16,1,249,0,8,0,0,1
Real Estate,0,12,6,13,0,22,1,0,2,1,3,5,4,0,0,0,166,0,0,1,0
Recreational Facilities and Services,1,1,21,2,0,11,0,0,1,0,4,2,5,6,0,4,0,94,0,0,4
Renewables & Environment,3,1,8,2,0,12,0,0,0,0,18,2,1,10,1,0,0,0,44,0,1
Telecommunications,0,2,15,1,0,60,0,0,0,0,0,1,9,4,0,0,1,0,0,42,2
Wholesale,4,5,46,2,0,24,0,0,0,1,24,3,6,14,2,8,1,6,0,0,86
