,precision,recall,f1-score,support
Automotive,0.5984555984555985,0.4889589905362776,0.5381944444444445,317.0
Construction,0.5825545171339563,0.4844559585492228,0.528995756718529,386.0
Consumer Goods,0.4149908592321755,0.44861660079051385,0.4311490978157645,506.0
Financial Services,0.6990291262135923,0.6990291262135923,0.6990291262135923,412.0
Human Resources,0.6470588235294118,0.5699481865284974,0.6060606060606061,193.0
Information Technology and Services,0.5420689655172414,0.7833887043189369,0.6407608695652174,1505.0
Insurance,0.8,0.48,0.6,125.0
Legal Services,0.8440366972477065,0.71875,0.7763713080168776,128.0
"Leisure, Travel & Tourism",0.7322834645669292,0.7622950819672131,0.746987951807229,122.0
Logistics and Supply Chain,0.717948717948718,0.5714285714285714,0.6363636363636365,147.0
Machinery,0.36891385767790263,0.3900990099009901,0.37921077959576516,505.0
Management Consulting,0.47151898734177217,0.44677661169415295,0.4588144726712856,667.0
Marketing and Advertising,0.6506024096385542,0.6206896551724138,0.6352941176470588,522.0
Mechanical or Industrial Engineering,0.4514285714285714,0.41074523396880414,0.4301270417422867,577.0
Media Production,0.41875,0.27800829875518673,0.33416458852867825,241.0
Medical Practice,0.5866666666666667,0.4943820224719101,0.5365853658536585,356.0
Real Estate,0.7894736842105263,0.635593220338983,0.7042253521126761,236.0
Recreational Facilities and Services,0.4796747967479675,0.3782051282051282,0.4229390681003584,156.0
Renewables & Environment,0.5882352941176471,0.3883495145631068,0.46783625730994155,103.0
Telecommunications,0.46153846153846156,0.26277372262773724,0.33488372093023255,137.0
Wholesale,0.42483660130718953,0.2801724137931034,0.3376623376623376,232.0
accuracy,0.5445662221048462,0.5445662221048462,0.5445662221048462,0.5445662221048462
macro avg,0.5842888619295518,0.5044126691344923,0.5355074237695321,7573.0
weighted avg,0.5480474546363845,0.5445662221048462,0.5380701032759442,7573.0
