,precision,recall,f1-score,support
Automotive,0.6519607843137255,0.4195583596214511,0.5105566218809982,317.0
Construction,0.624,0.40414507772020725,0.490566037735849,386.0
Consumer Goods,0.4435695538057743,0.3339920948616601,0.3810597519729425,506.0
Financial Services,0.810126582278481,0.6213592233009708,0.7032967032967032,412.0
Human Resources,0.751937984496124,0.5025906735751295,0.6024844720496895,193.0
Information Technology and Services,0.37369337979094075,0.8551495016611296,0.520105071731663,1505.0
Insurance,0.8055555555555556,0.464,0.5888324873096448,125.0
Legal Services,0.8725490196078431,0.6953125,0.7739130434782608,128.0
"Leisure, Travel & Tourism",0.8285714285714286,0.7131147540983607,0.7665198237885462,122.0
Logistics and Supply Chain,0.7553191489361702,0.48299319727891155,0.5892116182572614,147.0
Machinery,0.4482758620689655,0.28316831683168314,0.34708737864077666,505.0
Management Consulting,0.6124721603563474,0.4122938530734633,0.49283154121863804,667.0
Marketing and Advertising,0.6593625498007968,0.6340996168582376,0.6464843749999999,522.0
Mechanical or Industrial Engineering,0.43703703703703706,0.4090121317157712,0.42256042972247093,577.0
Media Production,0.45161290322580644,0.11618257261410789,0.18481848184818483,241.0
Medical Practice,0.7305699481865285,0.3960674157303371,0.5136612021857925,356.0
Real Estate,0.8291139240506329,0.5550847457627118,0.66497461928934,236.0
Recreational Facilities and Services,0.5,0.20512820512820512,0.29090909090909095,156.0
Renewables & Environment,0.6666666666666666,0.3106796116504854,0.423841059602649,103.0
Telecommunications,0.6585365853658537,0.19708029197080293,0.30337078651685395,137.0
Wholesale,0.46,0.19827586206896552,0.2771084337349398,232.0
accuracy,0.5050838505215899,0.5050838505215899,0.5050838505215899,0.5050838505215899
macro avg,0.6367110035292703,0.43853752407250424,0.499723477627157,7573.0
weighted avg,0.564801184380967,0.5050838505215899,0.49519589842174644,7573.0
