,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,155,7,25,5,1,35,0,1,1,4,22,16,3,23,4,5,2,2,0,1,5
Construction,4,187,21,5,2,46,0,0,4,1,35,23,10,20,0,6,4,3,4,2,9
Consumer Goods,18,18,227,7,5,68,0,0,4,4,38,18,9,39,2,9,5,17,5,0,13
Financial Services,7,2,8,288,4,43,6,3,1,1,7,13,5,3,2,7,4,1,1,3,3
Human Resources,0,1,3,3,110,31,1,0,0,0,0,32,5,1,1,2,0,0,0,2,1
Information Technology and Services,10,9,35,23,7,1179,1,1,6,10,21,82,30,28,32,10,1,4,0,14,2
Insurance,0,2,5,14,2,21,60,0,0,1,6,5,1,0,0,4,2,1,1,0,0
Legal Services,1,1,2,7,1,8,0,92,0,0,1,10,1,1,0,3,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,0,4,1,7,0,0,93,1,0,3,0,2,0,0,3,7,0,0,0
Logistics and Supply Chain,3,2,1,2,0,16,0,0,0,84,10,3,5,12,1,3,0,2,0,1,2
Machinery,17,19,37,4,1,66,1,0,1,1,197,17,7,86,2,17,1,3,7,1,20
Management Consulting,3,19,13,14,22,215,1,7,2,0,9,298,25,5,9,14,3,1,2,1,4
Marketing and Advertising,6,8,16,4,2,71,0,0,4,1,9,22,324,5,32,5,2,3,2,3,3
Mechanical or Industrial Engineering,13,14,47,6,4,81,2,0,1,2,103,21,11,237,0,14,1,2,3,5,10
Media Production,2,2,12,1,1,92,0,2,4,0,3,8,35,1,67,3,1,1,0,4,2
Medical Practice,3,3,20,7,2,57,2,0,0,3,20,20,5,20,2,176,3,6,0,2,5
Real Estate,1,12,7,8,1,15,1,1,3,1,4,14,6,3,0,3,150,2,2,1,1
Recreational Facilities and Services,0,1,14,0,2,22,0,2,2,1,12,9,4,9,1,7,3,59,0,1,7
Renewables & Environment,3,2,11,4,0,9,0,0,0,0,14,4,1,12,1,0,0,1,40,1,0
Telecommunications,3,3,8,4,0,62,0,0,0,1,1,6,5,2,1,2,1,0,1,36,1
Wholesale,10,8,35,2,2,31,0,0,1,1,22,8,6,16,3,10,4,8,0,0,65
