,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,133,3,17,1,2,104,0,0,1,2,13,8,2,27,0,1,0,0,0,0,3
Construction,0,156,10,1,0,156,0,0,3,1,16,10,0,17,0,3,8,1,0,0,4
Consumer Goods,16,15,169,2,0,173,0,0,0,2,26,3,2,59,3,5,0,10,2,2,17
Financial Services,2,1,4,256,1,111,8,2,1,0,1,10,2,2,1,2,4,0,1,0,3
Human Resources,1,1,1,2,97,57,0,0,0,0,2,23,3,3,0,1,0,0,0,0,2
Information Technology and Services,7,7,24,11,7,1287,0,2,5,6,9,51,40,24,11,5,1,1,2,4,1
Insurance,2,2,1,3,0,48,58,0,0,0,0,3,2,2,0,2,2,0,0,0,0
Legal Services,0,1,0,5,0,28,0,89,0,0,1,2,0,2,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,1,0,26,0,0,87,0,0,0,0,1,0,1,2,2,0,0,0
Logistics and Supply Chain,2,1,7,1,0,50,1,0,0,71,2,0,0,4,1,0,1,2,0,0,4
Machinery,11,14,22,1,0,186,0,0,0,1,143,11,2,97,1,5,1,0,6,0,4
Management Consulting,3,6,3,17,20,265,3,5,1,1,6,275,29,10,2,13,4,2,1,1,0
Marketing and Advertising,1,5,11,1,0,130,0,0,4,1,1,15,331,1,11,2,2,2,1,2,1
Mechanical or Industrial Engineering,13,13,32,0,0,203,0,1,0,3,54,4,1,236,1,3,1,2,2,2,6
Media Production,2,1,6,1,1,108,0,2,0,1,1,8,73,1,28,3,0,2,0,3,0
Medical Practice,4,3,11,1,1,142,1,0,0,2,13,13,1,16,1,141,1,2,0,0,3
Real Estate,0,8,1,7,0,77,1,0,1,1,0,5,1,1,0,1,131,0,0,0,1
Recreational Facilities and Services,0,2,13,0,0,81,0,0,1,0,7,1,2,9,0,2,0,32,1,0,5
Renewables & Environment,1,4,5,2,0,38,0,0,0,0,12,3,0,6,0,0,0,0,32,0,0
Telecommunications,1,1,5,1,0,80,0,1,0,1,2,4,6,6,1,1,0,0,0,27,0
Wholesale,5,6,37,2,0,94,0,0,1,1,10,0,5,16,1,2,0,6,0,0,46
