,precision,recall,f1-score,support
Automotive,0.7100371747211895,0.6025236593059937,0.651877133105802,317.0
Construction,0.6900584795321637,0.6113989637305699,0.6483516483516483,386.0
Consumer Goods,0.4493192133131619,0.5869565217391305,0.5089974293059126,506.0
Financial Services,0.7572115384615384,0.7645631067961165,0.7608695652173912,412.0
Human Resources,0.7449664429530202,0.5751295336787565,0.649122807017544,193.0
Information Technology and Services,0.634703196347032,0.8312292358803987,0.7197928653624855,1505.0
Insurance,0.84375,0.648,0.7330316742081449,125.0
Legal Services,0.8780487804878049,0.84375,0.8605577689243028,128.0
"Leisure, Travel & Tourism",0.825,0.8114754098360656,0.8181818181818182,122.0
Logistics and Supply Chain,0.8220338983050848,0.6598639455782312,0.732075471698113,147.0
Machinery,0.4594594594594595,0.504950495049505,0.4811320754716982,505.0
Management Consulting,0.573015873015873,0.5412293853073463,0.5566692367000771,667.0
Marketing and Advertising,0.7296747967479674,0.6877394636015326,0.7080867850098619,522.0
Mechanical or Industrial Engineering,0.5394495412844037,0.5095320623916811,0.5240641711229946,577.0
Media Production,0.4186046511627907,0.2987551867219917,0.3486682808716707,241.0
Medical Practice,0.7269736842105263,0.6207865168539326,0.6696969696969697,356.0
Real Estate,0.875,0.6822033898305084,0.7666666666666666,236.0
Recreational Facilities and Services,0.6307692307692307,0.5256410256410257,0.5734265734265734,156.0
Renewables & Environment,0.6666666666666666,0.44660194174757284,0.5348837209302325,103.0
Telecommunications,0.6027397260273972,0.32116788321167883,0.419047619047619,137.0
Wholesale,0.564935064935065,0.375,0.45077720207253885,232.0
accuracy,0.6296051762841675,0.6296051762841675,0.6296051762841675,0.6296051762841675
macro avg,0.673448448495256,0.5927856060429542,0.6245703563042888,7573.0
weighted avg,0.6367886418160356,0.6296051762841675,0.6261601297608882,7573.0
