,precision,recall,f1-score,support
Automotive,0.8034934497816594,0.580441640378549,0.673992673992674,317.0
Construction,0.6584615384615384,0.5544041450777202,0.6019690576652602,386.0
Consumer Goods,0.44297520661157025,0.5296442687747036,0.4824482448244825,506.0
Financial Services,0.7796143250688705,0.6868932038834952,0.7303225806451614,412.0
Human Resources,0.8016528925619835,0.5025906735751295,0.6178343949044586,193.0
Information Technology and Services,0.5765027322404371,0.8411960132890366,0.6841394217778978,1505.0
Insurance,0.819047619047619,0.688,0.7478260869565216,125.0
Legal Services,0.8909090909090909,0.765625,0.823529411764706,128.0
"Leisure, Travel & Tourism",0.8305084745762712,0.8032786885245902,0.8166666666666667,122.0
Logistics and Supply Chain,0.8118811881188119,0.5578231292517006,0.6612903225806451,147.0
Machinery,0.49673202614379086,0.4514851485148515,0.47302904564315357,505.0
Management Consulting,0.4986449864498645,0.5517241379310345,0.5238434163701067,667.0
Marketing and Advertising,0.6507352941176471,0.6781609195402298,0.6641651031894933,522.0
Mechanical or Industrial Engineering,0.5007564296520424,0.5736568457538995,0.5347334410339257,577.0
Media Production,0.4444444444444444,0.11618257261410789,0.18421052631578946,241.0
Medical Practice,0.8095238095238095,0.6207865168539326,0.7027027027027027,356.0
Real Estate,0.8385416666666666,0.6822033898305084,0.7523364485981308,236.0
Recreational Facilities and Services,0.6883116883116883,0.33974358974358976,0.4549356223175966,156.0
Renewables & Environment,0.7037037037037037,0.36893203883495146,0.48407643312101906,103.0
Telecommunications,0.6545454545454545,0.26277372262773724,0.375,137.0
Wholesale,0.5054347826086957,0.40086206896551724,0.4471153846153846,232.0
accuracy,0.6057044764294203,0.6057044764294203,0.6057044764294203,0.6057044764294203
macro avg,0.6764962287402695,0.5503051292364421,0.5921984278897989,7573.0
weighted avg,0.6213808165443631,0.6057044764294203,0.5978073232865767,7573.0
