,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,191,2,27,4,2,17,1,1,1,2,20,15,2,21,2,2,0,1,0,2,4
Construction,2,236,21,1,1,26,0,0,2,2,35,17,6,15,0,7,3,0,2,0,10
Consumer Goods,10,17,297,6,1,45,1,1,1,1,32,10,4,34,3,11,2,12,3,2,13
Financial Services,5,0,7,315,2,37,7,2,1,0,5,14,1,0,3,3,4,1,1,3,1
Human Resources,0,0,3,2,111,25,1,0,0,0,2,36,4,1,2,3,0,0,0,1,2
Information Technology and Services,7,6,39,23,4,1251,0,2,5,3,4,57,25,19,37,14,0,1,0,8,0
Insurance,1,1,4,12,1,13,81,0,0,1,3,3,0,1,0,2,1,0,1,0,0
Legal Services,0,0,1,7,0,2,0,108,0,0,1,8,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",1,0,1,1,1,6,0,0,99,1,0,1,2,1,0,0,2,5,1,0,0
Logistics and Supply Chain,4,2,4,1,0,12,0,0,0,97,6,4,3,5,2,0,0,2,1,1,3
Machinery,13,16,36,2,1,39,0,1,1,1,255,11,2,96,1,8,2,3,6,0,11
Management Consulting,5,9,11,12,20,175,1,6,1,1,4,361,24,6,11,8,3,2,3,2,2
Marketing and Advertising,3,9,13,2,0,57,0,0,3,1,3,26,359,2,30,2,2,1,2,3,4
Mechanical or Industrial Engineering,12,16,57,3,3,45,0,0,0,2,108,11,3,294,1,7,0,3,2,2,8
Media Production,1,0,13,2,0,88,0,2,3,0,2,11,39,1,72,3,0,1,0,2,1
Medical Practice,2,2,20,5,1,39,3,0,0,2,16,18,1,15,0,221,1,7,0,1,2
Real Estate,0,13,13,10,0,10,1,0,1,2,2,10,5,1,1,2,161,1,0,1,2
Recreational Facilities and Services,0,3,24,0,1,8,0,0,2,2,10,4,3,6,2,4,1,82,0,0,4
Renewables & Environment,4,3,8,2,0,6,0,0,0,0,18,3,0,10,1,0,0,1,46,1,0
Telecommunications,1,2,12,4,0,54,0,0,0,0,2,7,5,3,0,1,0,1,1,44,0
Wholesale,7,5,50,2,0,16,0,0,0,0,27,3,4,13,4,6,2,6,0,0,87
