,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,184,3,21,2,1,28,0,0,0,1,14,13,8,35,1,0,0,1,0,0,5
Construction,1,214,28,0,1,45,0,0,6,2,32,23,3,14,0,2,9,0,2,0,4
Consumer Goods,7,13,268,2,0,61,1,1,1,1,26,23,6,66,2,2,0,7,3,2,14
Financial Services,8,2,4,283,0,56,10,3,1,0,2,29,1,2,0,3,5,0,1,1,1
Human Resources,0,0,3,3,97,36,0,1,0,0,2,38,7,3,0,3,0,0,0,0,0
Information Technology and Services,5,5,27,15,3,1266,0,2,1,5,8,72,33,20,17,11,3,3,0,6,3
Insurance,0,0,0,13,0,14,86,0,0,0,0,5,1,2,0,1,3,0,0,0,0
Legal Services,0,2,0,7,0,10,0,98,0,0,1,8,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,1,0,98,0,0,1,0,1,0,0,2,3,0,0,0
Logistics and Supply Chain,3,4,6,2,2,21,0,0,0,82,4,11,0,6,1,0,0,0,1,0,4
Machinery,3,17,29,3,0,54,0,0,1,1,228,18,4,125,1,2,2,0,4,1,12
Management Consulting,3,12,12,13,16,172,3,4,3,3,10,368,24,5,2,9,4,0,0,2,2
Marketing and Advertising,2,8,15,4,0,75,0,0,2,1,5,35,354,0,6,3,1,2,1,2,6
Mechanical or Industrial Engineering,6,14,54,1,1,62,0,0,0,1,67,12,2,331,1,5,0,1,3,1,15
Media Production,1,1,12,3,0,97,0,1,1,0,0,10,77,1,28,2,1,1,0,3,2
Medical Practice,0,3,15,0,0,54,3,0,0,1,11,26,0,15,1,221,0,2,0,0,4
Real Estate,1,12,2,9,0,29,1,0,3,2,0,12,4,0,0,0,161,0,0,0,0
Recreational Facilities and Services,0,0,31,0,0,15,0,0,1,0,7,12,7,6,1,5,0,53,0,1,17
Renewables & Environment,1,5,7,1,0,13,0,0,0,0,19,6,2,11,0,0,0,0,38,0,0
Telecommunications,0,4,16,0,0,57,0,0,0,0,4,9,4,3,1,0,0,0,1,36,2
Wholesale,4,5,54,1,0,18,0,0,0,1,19,7,7,15,1,3,0,4,0,0,93
