,precision,recall,f1-score,support
Automotive,0.7056737588652482,0.6277602523659306,0.664440734557596,317.0
Construction,0.6416184971098265,0.5751295336787565,0.6065573770491802,386.0
Consumer Goods,0.46967340590979784,0.5968379446640316,0.525674499564839,506.0
Financial Services,0.7698019801980198,0.7548543689320388,0.7622549019607843,412.0
Human Resources,0.7151898734177216,0.5854922279792746,0.6438746438746438,193.0
Information Technology and Services,0.6322869955156951,0.8431893687707641,0.7226651480637813,1505.0
Insurance,0.8144329896907216,0.632,0.7117117117117119,125.0
Legal Services,0.88,0.859375,0.8695652173913043,128.0
"Leisure, Travel & Tourism",0.8728813559322034,0.8442622950819673,0.8583333333333334,122.0
Logistics and Supply Chain,0.7615384615384615,0.673469387755102,0.7148014440433211,147.0
Machinery,0.44815465729349735,0.504950495049505,0.4748603351955307,505.0
Management Consulting,0.6377079482439926,0.5172413793103449,0.5711920529801325,667.0
Marketing and Advertising,0.6883365200764818,0.6896551724137931,0.6889952153110047,522.0
Mechanical or Industrial Engineering,0.5260416666666666,0.5251299826689775,0.5255854293148309,577.0
Media Production,0.4652777777777778,0.27800829875518673,0.34805194805194806,241.0
Medical Practice,0.7012195121951219,0.6460674157303371,0.6725146198830408,356.0
Real Estate,0.8808290155440415,0.7203389830508474,0.7925407925407927,236.0
Recreational Facilities and Services,0.6461538461538462,0.5384615384615384,0.5874125874125874,156.0
Renewables & Environment,0.6774193548387096,0.4077669902912621,0.5090909090909091,103.0
Telecommunications,0.6031746031746031,0.2773722627737226,0.38,137.0
Wholesale,0.6417910447761194,0.3706896551724138,0.46994535519125685,232.0
accuracy,0.6321140895285884,0.6321140895285884,0.6321140895285884,0.6321140895285884
macro avg,0.675200155472312,0.5937167882336093,0.6238127741201206,7573.0
weighted avg,0.6384438453800081,0.6321140895285884,0.6266924714396378,7573.0
