,precision,recall,f1-score,support
Automotive,0.7931034482758621,0.5078864353312302,0.6192307692307693,317.0
Construction,0.6445182724252492,0.5025906735751295,0.5647743813682679,386.0
Consumer Goods,0.4267631103074141,0.466403162055336,0.44570349386213415,506.0
Financial Services,0.7982708933717579,0.6723300970873787,0.7299077733860343,412.0
Human Resources,0.7538461538461538,0.5077720207253886,0.6068111455108359,193.0
Information Technology and Services,0.49230769230769234,0.8717607973421927,0.6292565947242206,1505.0
Insurance,0.71875,0.552,0.6244343891402715,125.0
Legal Services,0.8636363636363636,0.7421875,0.7983193277310924,128.0
"Leisure, Travel & Tourism",0.85,0.8360655737704918,0.8429752066115703,122.0
Logistics and Supply Chain,0.8222222222222222,0.5034013605442177,0.6244725738396625,147.0
Machinery,0.4783599088838269,0.4158415841584158,0.4449152542372881,505.0
Management Consulting,0.6461232604373758,0.487256371814093,0.5555555555555557,667.0
Marketing and Advertising,0.6652631578947369,0.6053639846743295,0.6339017051153459,522.0
Mechanical or Industrial Engineering,0.4289544235924933,0.5545927209705372,0.4837490551776266,577.0
Media Production,0.5294117647058824,0.11203319502074689,0.18493150684931506,241.0
Medical Practice,0.8018018018018018,0.5,0.615916955017301,356.0
Real Estate,0.8532608695652174,0.6652542372881356,0.7476190476190476,236.0
Recreational Facilities and Services,0.6790123456790124,0.3525641025641026,0.46413502109704646,156.0
Renewables & Environment,0.6981132075471698,0.3592233009708738,0.47435897435897445,103.0
Telecommunications,0.6410256410256411,0.18248175182481752,0.2840909090909091,137.0
Wholesale,0.5212121212121212,0.3706896551724138,0.4332493702770781,232.0
accuracy,0.5749372771688894,0.5749372771688894,0.5749372771688894,0.5749372771688894
macro avg,0.6717122218446663,0.5127475488042776,0.5623004290381116,7573.0
weighted avg,0.6106802372509917,0.5749372771688894,0.565931784260949,7573.0
