,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,199,4,27,2,2,19,0,0,0,1,23,6,3,21,2,1,0,4,1,1,1
Construction,5,222,20,4,1,36,0,0,1,2,38,10,6,16,1,6,9,0,4,1,4
Consumer Goods,15,15,302,3,1,51,0,2,0,0,31,5,9,37,2,9,1,8,4,1,10
Financial Services,9,1,8,311,1,36,8,3,0,0,3,14,4,2,1,5,2,1,0,2,1
Human Resources,0,0,3,2,113,29,1,0,0,0,3,32,4,1,2,3,0,0,0,0,0
Information Technology and Services,7,6,34,17,5,1269,2,2,4,9,8,48,29,14,28,12,0,2,0,7,2
Insurance,1,1,6,12,2,11,79,0,0,1,3,2,1,0,0,3,1,1,1,0,0
Legal Services,0,1,1,6,0,3,0,110,0,0,0,6,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,2,0,6,0,0,103,0,1,2,1,1,0,0,1,4,0,0,0
Logistics and Supply Chain,4,2,4,0,0,12,0,0,0,99,9,2,0,3,4,3,0,1,1,1,2
Machinery,10,19,33,2,1,34,1,0,2,1,255,6,3,107,1,13,3,2,3,2,7
Management Consulting,4,14,7,16,22,180,2,6,1,2,6,345,27,6,5,15,2,1,3,2,1
Marketing and Advertising,2,9,18,5,4,53,0,1,4,3,6,18,360,3,25,4,0,1,0,2,4
Mechanical or Industrial Engineering,14,19,45,3,2,41,0,0,1,2,106,14,4,303,1,3,2,5,1,0,11
Media Production,0,1,15,2,2,85,0,1,1,1,1,6,48,1,67,2,1,3,0,4,0
Medical Practice,1,2,22,4,1,35,3,0,0,3,12,12,5,17,1,230,1,5,1,1,0
Real Estate,1,20,4,8,0,19,1,0,0,2,3,3,1,1,0,1,170,1,1,0,0
Recreational Facilities and Services,1,1,20,0,0,12,0,0,1,0,11,0,5,9,1,8,0,84,0,0,3
Renewables & Environment,4,4,9,3,1,6,0,0,0,1,16,0,1,15,0,0,0,1,42,0,0
Telecommunications,0,1,21,1,0,51,0,0,0,0,6,4,6,4,1,2,0,0,0,38,2
Wholesale,5,4,43,1,0,19,0,0,0,3,28,6,6,14,2,8,0,6,0,1,86
