,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,161,0,19,1,1,55,1,0,1,1,19,7,2,41,0,2,0,0,1,0,5
Construction,1,194,20,0,1,79,1,1,2,2,30,10,3,25,0,2,10,1,1,0,3
Consumer Goods,7,12,236,2,1,97,2,1,0,0,27,3,2,81,1,3,0,7,5,1,18
Financial Services,6,1,7,277,0,88,11,3,1,0,0,12,0,1,1,2,2,0,0,0,0
Human Resources,0,3,2,2,98,44,1,1,0,0,3,29,5,2,0,3,0,0,0,0,0
Information Technology and Services,2,6,24,10,4,1312,3,2,3,4,5,52,28,24,3,9,2,1,2,6,3
Insurance,2,2,2,15,0,24,69,0,0,0,0,2,2,2,0,2,3,0,0,0,0
Legal Services,0,2,4,3,0,16,0,95,0,0,2,4,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,0,13,0,0,102,0,0,1,0,1,0,0,1,2,0,0,0
Logistics and Supply Chain,4,3,8,1,0,37,0,0,0,74,6,3,1,10,0,0,0,0,0,0,0
Machinery,4,17,30,2,0,74,0,0,0,1,210,6,4,134,0,2,1,1,2,1,16
Management Consulting,3,12,7,9,21,221,2,5,1,2,7,325,22,13,4,8,2,0,1,1,1
Marketing and Advertising,1,7,16,3,0,124,1,0,2,1,2,15,316,10,13,2,1,3,0,2,3
Mechanical or Industrial Engineering,6,14,46,2,1,84,0,0,0,2,75,8,0,320,0,1,0,3,1,0,14
Media Production,1,0,10,3,2,106,0,1,3,1,0,4,75,1,27,1,2,1,0,1,2
Medical Practice,1,2,28,2,0,73,3,0,1,1,13,15,4,29,0,178,1,1,0,0,4
Real Estate,0,16,4,13,0,34,2,1,3,1,0,3,1,0,1,0,157,0,0,0,0
Recreational Facilities and Services,0,1,23,0,1,43,0,0,1,0,9,0,3,6,0,3,0,55,1,1,9
Renewables & Environment,1,4,4,0,0,21,0,0,0,0,17,1,0,18,0,0,0,0,37,0,0
Telecommunications,0,2,11,2,0,82,0,0,0,0,3,2,4,4,0,0,0,0,1,25,1
Wholesale,3,3,50,0,0,38,0,0,0,0,11,1,3,24,1,3,1,6,1,1,86
