,precision,recall,f1-score,support
Automotive,0.7333333333333333,0.6593059936908517,0.6943521594684385,317.0
Construction,0.7053571428571429,0.6139896373056994,0.6565096952908588,386.0
Consumer Goods,0.46808510638297873,0.6521739130434783,0.5450041288191577,506.0
Financial Services,0.7872860635696821,0.7815533980582524,0.784409257003654,412.0
Human Resources,0.7315436241610739,0.5647668393782384,0.6374269005847953,193.0
Information Technology and Services,0.6540847983453981,0.840531561461794,0.7356789764466414,1505.0
Insurance,0.8367346938775511,0.656,0.73542600896861,125.0
Legal Services,0.8914728682170543,0.8984375,0.8949416342412452,128.0
"Leisure, Travel & Tourism",0.8728813559322034,0.8442622950819673,0.8583333333333334,122.0
Logistics and Supply Chain,0.7906976744186046,0.6938775510204082,0.7391304347826086,147.0
Machinery,0.4889705882352941,0.5267326732673268,0.5071496663489037,505.0
Management Consulting,0.6313043478260869,0.5442278860569715,0.5845410628019323,667.0
Marketing and Advertising,0.6990654205607477,0.7164750957854407,0.7076631977294229,522.0
Mechanical or Industrial Engineering,0.5497382198952879,0.5459272097053726,0.5478260869565217,577.0
Media Production,0.4755244755244755,0.2821576763485477,0.3541666666666667,241.0
Medical Practice,0.7523809523809524,0.6657303370786517,0.706408345752608,356.0
Real Estate,0.8877551020408163,0.7372881355932204,0.8055555555555555,236.0
Recreational Facilities and Services,0.6666666666666666,0.5769230769230769,0.6185567010309277,156.0
Renewables & Environment,0.734375,0.4563106796116505,0.562874251497006,103.0
Telecommunications,0.7068965517241379,0.29927007299270075,0.4205128205128206,137.0
Wholesale,0.6433566433566433,0.39655172413793105,0.4906666666666667,232.0
accuracy,0.6524494916149478,0.6524494916149478,0.6524494916149478,0.6524494916149478
macro avg,0.7003576490145778,0.6167853931686467,0.6470063595456368,7573.0
weighted avg,0.6603436021760709,0.6524494916149478,0.6479464847803903,7573.0
