,precision,recall,f1-score,support
Automotive,0.7719298245614035,0.555205047318612,0.6458715596330276,317.0
Construction,0.695364238410596,0.5440414507772021,0.6104651162790699,386.0
Consumer Goods,0.4484629294755877,0.4901185770750988,0.4683663833805477,506.0
Financial Services,0.7763157894736842,0.7160194174757282,0.7449494949494949,412.0
Human Resources,0.773109243697479,0.47668393782383417,0.5897435897435896,193.0
Information Technology and Services,0.5499573014517506,0.8558139534883721,0.669612685209254,1505.0
Insurance,0.7619047619047619,0.64,0.6956521739130435,125.0
Legal Services,0.8818181818181818,0.7578125,0.8151260504201681,128.0
"Leisure, Travel & Tourism",0.8849557522123894,0.819672131147541,0.851063829787234,122.0
Logistics and Supply Chain,0.7623762376237624,0.5238095238095238,0.6209677419354838,147.0
Machinery,0.48504273504273504,0.4495049504950495,0.46659815005138744,505.0
Management Consulting,0.567741935483871,0.527736131934033,0.5470085470085471,667.0
Marketing and Advertising,0.6765873015873016,0.6532567049808429,0.6647173489278753,522.0
Mechanical or Industrial Engineering,0.46601941747572817,0.5823223570190641,0.5177195685670262,577.0
Media Production,0.5357142857142857,0.12448132780082988,0.20202020202020202,241.0
Medical Practice,0.7962962962962963,0.6039325842696629,0.6869009584664537,356.0
Real Estate,0.8201058201058201,0.6567796610169492,0.7294117647058823,236.0
Recreational Facilities and Services,0.7108433734939759,0.3782051282051282,0.4937238493723849,156.0
Renewables & Environment,0.6470588235294118,0.42718446601941745,0.5146198830409358,103.0
Telecommunications,0.6212121212121212,0.29927007299270075,0.4039408866995074,137.0
Wholesale,0.5085714285714286,0.38362068965517243,0.4373464373464373,232.0
accuracy,0.6010827941370659,0.6010827941370659,0.6010827941370659,0.6010827941370659
macro avg,0.6733994190067891,0.5459747911097507,0.5893250581646454,7573.0
weighted avg,0.6202807783445656,0.6010827941370659,0.5929849399646449,7573.0
