,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,209,2,26,0,2,19,0,0,0,1,20,6,3,21,0,0,1,4,0,1,2
Construction,3,237,23,3,1,22,0,0,2,2,34,11,7,18,0,6,7,0,4,0,6
Consumer Goods,12,11,330,2,1,43,0,1,0,0,23,8,7,32,2,10,1,10,4,1,8
Financial Services,7,0,9,322,1,34,8,3,0,0,0,12,2,1,2,4,3,1,0,1,2
Human Resources,0,0,2,2,109,27,1,0,0,0,2,37,5,2,2,4,0,0,0,0,0
Information Technology and Services,7,8,40,15,5,1265,1,3,4,8,9,58,25,13,30,7,0,2,0,4,1
Insurance,1,1,5,15,1,9,82,0,0,1,2,3,1,1,0,2,1,0,0,0,0
Legal Services,0,1,1,5,0,1,0,115,0,0,0,3,0,1,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,9,0,0,103,0,1,0,1,1,0,0,1,4,0,0,0
Logistics and Supply Chain,4,1,5,0,0,15,0,0,0,102,8,2,0,3,2,1,0,1,1,1,1
Machinery,10,16,35,2,1,32,1,0,1,1,266,12,2,100,2,9,2,2,2,1,8
Management Consulting,4,11,9,16,21,171,2,5,0,2,4,363,27,7,5,13,2,1,2,1,1
Marketing and Advertising,1,5,21,5,2,45,0,0,4,3,4,17,374,3,25,5,0,1,0,2,5
Mechanical or Industrial Engineering,16,16,54,3,2,37,0,0,0,3,96,14,3,315,1,1,1,3,1,0,11
Media Production,0,0,16,2,1,82,0,2,1,1,1,4,53,1,68,2,1,3,0,3,0
Medical Practice,2,3,21,5,2,29,2,0,0,3,11,11,5,16,1,237,1,6,1,0,0
Real Estate,0,15,9,7,0,16,1,0,1,1,3,4,1,3,0,0,174,0,1,0,0
Recreational Facilities and Services,1,1,17,0,0,9,0,0,2,0,11,2,5,7,1,6,0,90,0,1,3
Renewables & Environment,3,3,11,2,0,5,0,0,0,0,18,0,0,12,0,1,0,1,47,0,0
Telecommunications,0,2,19,1,0,49,0,0,0,0,6,3,7,4,1,0,0,0,1,41,3
Wholesale,5,3,51,1,0,15,0,0,0,1,25,5,7,12,1,7,0,6,0,1,92
