,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,176,1,22,2,0,38,0,0,0,2,15,11,7,34,1,1,0,1,1,0,5
Construction,1,210,23,0,2,57,1,0,4,1,33,14,3,19,0,3,9,0,4,0,2
Consumer Goods,10,10,248,1,0,81,2,1,0,0,22,13,3,78,1,3,0,4,5,5,19
Financial Services,6,2,6,295,0,61,10,3,0,0,3,16,2,1,0,2,3,0,0,2,0
Human Resources,0,0,1,3,92,40,1,0,0,1,2,42,5,4,0,2,0,0,0,0,0
Information Technology and Services,5,4,16,12,4,1288,3,2,1,6,10,60,24,25,14,10,6,1,1,10,3
Insurance,0,0,1,12,0,21,80,0,0,0,0,5,0,1,0,1,4,0,0,0,0
Legal Services,0,2,0,6,0,11,0,97,0,1,1,8,0,0,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,0,11,1,0,100,0,0,1,0,0,0,0,1,3,0,0,0
Logistics and Supply Chain,4,3,6,3,2,29,0,0,0,77,8,6,1,5,0,1,0,0,0,0,2
Machinery,5,13,20,4,0,58,0,0,1,0,227,13,5,129,0,4,1,0,4,1,20
Management Consulting,3,15,11,17,17,178,2,5,1,3,8,352,24,10,1,9,4,3,2,1,1
Marketing and Advertising,4,3,22,4,1,93,0,0,1,2,5,20,341,5,7,4,3,1,1,1,4
Mechanical or Industrial Engineering,8,11,45,1,1,66,0,0,0,2,74,9,2,336,0,5,0,1,3,0,13
Media Production,1,0,13,3,0,101,0,2,1,0,0,10,70,2,30,2,1,1,0,3,1
Medical Practice,0,2,26,0,0,57,4,0,0,2,6,19,0,20,0,215,0,2,0,0,3
Real Estate,1,14,1,13,0,30,1,0,3,2,1,9,3,2,0,0,155,0,0,0,1
Recreational Facilities and Services,0,1,26,1,0,26,0,0,1,1,10,4,3,9,0,3,0,59,1,1,10
Renewables & Environment,0,3,3,1,0,14,0,0,0,0,26,1,1,10,0,0,0,0,44,0,0
Telecommunications,0,1,12,0,0,62,0,0,0,0,3,5,2,5,1,1,0,0,2,41,2
Wholesale,4,5,49,1,0,20,0,0,0,1,14,2,8,26,1,4,0,7,0,1,89
