,precision,recall,f1-score,support
Automotive,0.33974358974358976,0.167192429022082,0.22410147991543342,317.0
Construction,0.29457364341085274,0.09844559585492228,0.14757281553398058,386.0
Consumer Goods,0.2532467532467532,0.1541501976284585,0.19164619164619162,506.0
Financial Services,0.4090909090909091,0.21844660194174756,0.28481012658227844,412.0
Human Resources,0.31958762886597936,0.16062176165803108,0.21379310344827585,193.0
Information Technology and Services,0.25385632437197003,0.7654485049833887,0.38126758232665897,1505.0
Insurance,0.4,0.128,0.19393939393939394,125.0
Legal Services,0.509090909090909,0.21875,0.30601092896174864,128.0
"Leisure, Travel & Tourism",0.5625,0.22131147540983606,0.3176470588235294,122.0
Logistics and Supply Chain,0.32432432432432434,0.16326530612244897,0.2171945701357466,147.0
Machinery,0.21069182389937108,0.13267326732673268,0.16281895504252736,505.0
Management Consulting,0.24036281179138322,0.15892053973013492,0.19133574007220214,667.0
Marketing and Advertising,0.33488372093023255,0.13793103448275862,0.19538670284938942,522.0
Mechanical or Industrial Engineering,0.22727272727272727,0.16464471403812825,0.19095477386934673,577.0
Media Production,0.1702127659574468,0.06639004149377593,0.0955223880597015,241.0
Medical Practice,0.3157894736842105,0.10112359550561797,0.15319148936170213,356.0
Real Estate,0.39823008849557523,0.1906779661016949,0.25787965616045844,236.0
Recreational Facilities and Services,0.21739130434782608,0.0641025641025641,0.09900990099009901,156.0
Renewables & Environment,0.2631578947368421,0.04854368932038835,0.0819672131147541,103.0
Telecommunications,0.1,0.029197080291970802,0.04519774011299436,137.0
Wholesale,0.23333333333333334,0.09051724137931035,0.13043478260869565,232.0
accuracy,0.26594480390862274,0.26594480390862274,0.26594480390862274,0.26594480390862274
macro avg,0.3036828584092493,0.16573112411399965,0.19436583778833846,7573.0
weighted avg,0.2828778887048234,0.26594480390862274,0.22609999127781558,7573.0
