,precision,recall,f1-score,support
Automotive,0.6507936507936508,0.12933753943217666,0.21578947368421053,317.0
Construction,0.4,0.06217616580310881,0.10762331838565023,386.0
Consumer Goods,0.2532467532467532,0.07707509881422925,0.11818181818181817,506.0
Financial Services,0.584070796460177,0.16019417475728157,0.25142857142857145,412.0
Human Resources,0.5,0.11917098445595854,0.19246861924686193,193.0
Information Technology and Services,0.2225504677498769,0.9009966777408638,0.35693603579889444,1505.0
Insurance,0.4,0.064,0.1103448275862069,125.0
Legal Services,0.5384615384615384,0.1640625,0.25149700598802394,128.0
"Leisure, Travel & Tourism",0.5555555555555556,0.20491803278688525,0.29940119760479045,122.0
Logistics and Supply Chain,0.4594594594594595,0.11564625850340136,0.1847826086956522,147.0
Machinery,0.3475177304964539,0.09702970297029703,0.15170278637770895,505.0
Management Consulting,0.36363636363636365,0.1199400299850075,0.18038331454340473,667.0
Marketing and Advertising,0.41566265060240964,0.13218390804597702,0.20058139534883718,522.0
Mechanical or Industrial Engineering,0.2913907284768212,0.07625649913344887,0.1208791208791209,577.0
Media Production,0.10638297872340426,0.02074688796680498,0.034722222222222224,241.0
Medical Practice,0.3877551020408163,0.05337078651685393,0.09382716049382715,356.0
Real Estate,0.7169811320754716,0.16101694915254236,0.2629757785467128,236.0
Recreational Facilities and Services,0.23076923076923078,0.019230769230769232,0.03550295857988166,156.0
Renewables & Environment,0.06666666666666667,0.009708737864077669,0.01694915254237288,103.0
Telecommunications,0.09090909090909091,0.0072992700729927005,0.013513513513513513,137.0
Wholesale,0.21621621621621623,0.034482758620689655,0.05947955390334572,232.0
accuracy,0.25577710286544303,0.25577710286544303,0.25577710286544303,0.25577710286544303
macro avg,0.37133457677809323,0.12994493961206505,0.15518906826436327,7573.0
weighted avg,0.35080968702427057,0.25577710286544303,0.1921946761194073,7573.0
