,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,53,1,17,6,2,175,2,1,1,3,12,11,4,13,6,2,3,1,2,0,2
Construction,11,38,21,11,6,204,0,0,1,2,21,20,5,18,5,5,8,3,1,4,2
Consumer Goods,14,3,78,9,6,260,2,0,1,2,23,16,9,37,4,7,7,7,1,5,15
Financial Services,9,5,10,90,3,220,5,2,2,0,7,20,4,12,4,7,7,1,0,1,3
Human Resources,0,3,7,2,31,110,0,0,0,1,2,21,2,8,2,2,1,0,0,0,1
Information Technology and Services,14,15,35,21,9,1152,5,8,4,4,37,67,30,43,15,16,5,5,1,11,8
Insurance,1,3,0,6,1,73,16,0,0,1,5,8,3,3,2,2,0,0,1,0,0
Legal Services,2,1,2,7,1,58,1,28,0,0,5,12,2,4,1,0,2,0,0,0,2
"Leisure, Travel & Tourism",2,4,1,2,1,59,0,0,27,1,3,8,2,7,2,1,0,1,0,0,1
Logistics and Supply Chain,1,1,2,2,0,87,0,2,0,24,3,8,2,6,1,1,0,0,3,1,3
Machinery,5,8,19,5,4,263,2,3,1,3,67,19,6,69,8,4,6,1,2,0,10
Management Consulting,4,6,15,11,15,407,3,5,1,6,26,106,13,20,6,7,6,2,1,4,3
Marketing and Advertising,7,6,11,7,3,313,0,0,6,6,10,32,72,20,10,5,6,2,1,2,3
Mechanical or Industrial Engineering,11,19,24,9,3,289,1,1,2,7,49,30,12,95,4,8,2,2,0,2,7
Media Production,1,2,4,5,0,162,0,1,0,3,5,10,20,8,16,0,1,0,1,2,0
Medical Practice,8,4,17,9,7,190,1,0,1,3,18,18,4,24,5,36,3,4,0,2,2
Real Estate,3,3,5,8,4,133,1,2,0,1,5,8,8,3,0,6,45,1,0,0,0
Recreational Facilities and Services,2,1,8,1,0,104,0,0,0,1,4,6,7,7,0,0,2,10,0,0,3
Renewables & Environment,1,2,2,3,0,62,0,0,0,0,8,3,2,8,0,2,1,1,5,0,3
Telecommunications,4,3,4,1,0,99,0,0,0,1,1,9,3,2,1,0,3,1,0,4,1
Wholesale,3,1,26,5,1,118,1,2,1,5,7,9,5,11,2,3,5,4,0,2,21
