,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,41,0,11,2,0,242,1,0,2,1,2,3,1,3,5,1,0,0,0,1,1
Construction,0,24,9,3,2,304,0,0,3,1,10,8,6,5,4,3,1,0,1,0,2
Consumer Goods,3,3,39,5,0,403,0,1,0,3,4,6,5,16,2,1,2,1,3,0,9
Financial Services,0,1,2,66,1,304,3,3,0,1,7,9,2,6,1,4,2,0,0,0,0
Human Resources,0,3,3,1,23,147,0,3,1,0,1,4,3,3,1,0,0,0,0,0,0
Information Technology and Services,2,6,8,7,5,1356,1,6,1,3,12,37,21,16,6,4,2,3,3,2,4
Insurance,1,0,1,1,2,107,8,0,0,0,2,2,0,0,0,0,0,0,0,1,0
Legal Services,0,1,0,2,1,94,0,21,0,1,2,0,2,1,1,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,2,1,2,0,81,0,0,25,0,1,4,2,1,1,0,0,1,0,1,0
Logistics and Supply Chain,1,1,3,0,0,116,0,0,0,17,0,3,0,3,1,1,1,0,0,0,0
Machinery,3,1,7,2,0,388,1,0,0,0,49,13,5,26,1,1,0,0,2,0,6
Management Consulting,2,2,2,5,8,515,3,4,4,3,4,80,12,6,5,4,3,1,2,1,1
Marketing and Advertising,1,1,6,2,1,399,1,0,5,2,4,17,69,4,6,2,1,0,0,1,0
Mechanical or Industrial Engineering,5,4,21,2,1,450,0,0,1,1,22,10,2,44,2,4,0,0,3,1,4
Media Production,0,1,0,3,1,199,0,0,1,1,3,3,22,1,5,1,0,0,0,0,0
Medical Practice,0,2,12,3,1,293,2,0,2,1,2,9,1,5,3,19,0,0,0,1,0
Real Estate,0,3,2,6,0,170,0,1,0,0,2,4,5,1,1,2,38,0,0,0,1
Recreational Facilities and Services,1,1,10,0,0,135,0,0,0,0,1,2,0,2,0,0,0,3,0,0,1
Renewables & Environment,0,1,0,0,0,87,0,0,0,0,6,2,2,3,0,0,1,0,1,0,0
Telecommunications,0,1,2,0,0,124,0,0,0,0,3,2,2,1,1,0,0,0,0,1,0
Wholesale,3,2,15,1,0,179,0,0,0,2,4,2,4,4,1,2,0,4,0,1,8
