feature,value
systemhaus,0.0039674979634583
banking,0.003916261252015829
software,0.0034500814508646727
bank,0.0032390134874731302
dokumentenmanagement,0.003234577365219593
patienten,0.0032246180344372988
gebrauchtwagen,0.003209186252206564
it,0.0030088797211647034
gas,0.0027862675487995148
methoden,0.0027661698404699564
werbeagentur,0.0026888835709542036
fonds,0.0024713072925806046
packaging,0.002387095708400011
ergebnisse,0.002352209994569421
konstruktion,0.0022751986980438232
steuerberatung,0.002174973953515291
volkswagen,0.0020976364612579346
registrierung,0.0020837786141783
zeitarbeit,0.0019937660545110703
immobilie,0.001976082334294915
brand,0.0019728480838239193
softwareentwicklung,0.001966934883967042
mandanten,0.0019529149867594242
personalvermittlung,0.001931715407408774
steuerberater,0.001922687399201095
baugruppen,0.001919841393828392
transformation,0.0018729151925072074
investment,0.0018335740314796567
autohaus,0.001787422806955874
cars,0.0017693282570689917
hausverwaltung,0.0017632243689149618
bewerber,0.0017503408016636968
consulting,0.0017396407201886177
dokumenten,0.0017056857468560338
recruitment,0.0016626648139208555
werbung,0.0016469410620629787
kampagnen,0.0016424491768702865
organisation,0.0016358871944248676
maschinenbau,0.0016083021182566881
knowledge,0.0015956199495121837
patient,0.0015805282164365053
party,0.001576421083882451
rechenzentrum,0.0015641195932403207
anreise,0.001542682759463787
zielgruppen,0.0015303383115679026
aufmerksamkeit,0.001483240514062345
metallverarbeitung,0.0014738020254299045
rme,0.0014737449819222093
kliniken,0.0014733447460457683
ecommerce,0.0014600311405956745
stadtwerke,0.0014521863777190447
digitalisierung,0.0014451183378696442
handwerker,0.0014375172322615981
fenster,0.0014194805407896638
electronics,0.0014192250091582537
machines,0.001403425820171833
fach,0.0014022117247805
steuerberatungsgesellschaft,0.0013744918396696448
virtualisierung,0.0013702955329790711
personalberatung,0.0013583817053586245
organisationen,0.0013527986593544483
informatik,0.0013370795641094446
kundenzentrum,0.0013362610479816794
logistics,0.0013176017673686147
hotel,0.001315360190346837
vermo,0.00131524249445647
wohnen,0.001315092551521957
accessoires,0.0013099818024784327
kandidaten,0.001305330079048872
anlagentechnik,0.0013009939575567842
echtzeit,0.0012975181452929974
km,0.0012938518775627017
bauen,0.0012893620878458023
connectivity,0.0012883368181064725
werkzeugmaschinen,0.001287538092583418
patients,0.0012796390801668167
seminare,0.001279088668525219
schnittstellen,0.0012778379023075104
verpackungsmaschinen,0.0012734360061585903
informationssysteme,0.001272672787308693
cloud,0.0012643830850720406
unternehmensberatung,0.0012597065651789308
prozess,0.001259337761439383
architekten,0.0012515598209574819
beratungsunternehmen,0.0012185944942757487
apotheke,0.0012159497709944844
module,0.0012031962396577
einzelhandel,0.0011953500797972083
account,0.0011925784638151526
security,0.0011905236169695854
elektrotechnik,0.0011871736496686935
internetagentur,0.0011797727784141898
vermietung,0.001178958103992045
credit,0.0011655858252197504
inbetriebnahme,0.001161282416433096
metall,0.0011611358495429158
mitglieder,0.0011598002165555954
cooling,0.001157887396402657
lighting,0.0011537614045664668
kanzlei,0.0011527392780408263
subscription,0.001148685929365456
personaldienstleister,0.0011418944923207164
payments,0.0011416224297136068
roofing,0.0011348582338541746
maschinen,0.0011256799334660172
immobilienbewertung,0.0011172067606821656
capital,0.0011126941535621881
erp,0.001111082499846816
projektmanagement,0.0011086045997217298
car,0.001103276968933642
integrationen,0.0011024895356968045
kraftstoffverbrauch,0.0011006155982613564
finanzen,0.00110009522177279
ausstellungen,0.0010931614087894559
workshop,0.0010832148836925626
areas,0.0010808357037603855
designs,0.0010800767922773957
systemintegration,0.0010735574178397655
consult,0.0010724874446168542
besuche,0.0010688052279874682
videokonferenz,0.0010654253419488668
werbeartikel,0.001065004849806428
elektronik,0.0010647960007190704
profiling,0.0010594450868666172
bauunternehmen,0.0010521021904423833
suchmaschinenoptimierung,0.0010490663116797805
demo,0.0010463428916409612
verkauf,0.0010343559551984072
data,0.0010331541998311877
marketing,0.001026021083816886
abholung,0.0010207198793068528
finanz,0.0010138275101780891
wohnungen,0.0009992810664698482
bestellen,0.0009982908377423882
job,0.0009980665054172277
bearbeitungszentrum,0.0009975150460377336
zimmer,0.0009955085115507245
unternehmens,0.0009907906642183661
netzwerke,0.0009818950202316046
accounts,0.0009813797660171986
gewinnsparen,0.000980090699158609
maschine,0.0009785422589629889
trainer,0.0009751871693879366
talent,0.0009689026046544313
gensverwaltung,0.0009682486997917295
change,0.0009657837217673659
personaldienstleistung,0.0009622375364415348
berater,0.0009603851940482855
steuerrecht,0.0009603148209862411
rdertechnik,0.0009460447472520173
telefonie,0.0009451061487197876
entscheidungen,0.0009449287317693233
messe,0.0009447391494177282
engineering,0.0009435844258405268
bearbeitung,0.0009327283478341997
audience,0.0009313026675954461
challenges,0.0009266567649319768
automatisierungstechnik,0.0009217038168571889
standortvernetzung,0.0009182767826132476
law,0.0009174304432235658
versicherungsmakler,0.0009168896358460188
cre,0.0009156886371783912
talente,0.0009122967603616416
kassensystem,0.0009122517658397555
zugang,0.0009085788624361157
voice,0.0009036495466716588
steuern,0.0009020753786899149
schnittstelle,0.0008984896121546626
unternehmenskultur,0.0008932602941058576
food,0.0008872163016349077
filialen,0.0008832418243400753
coaching,0.0008815889596007764
investments,0.0008811065927147865
startup,0.0008801991934888065
geldanlage,0.0008798163617029786
arbeitnehmeru,0.0008796550100669265
automation,0.0008790541323833168
architecture,0.0008775814203545451
login,0.0008759134216234088
stil,0.0008756017195992172
hrungen,0.0008754557347856462
technologien,0.0008731153793632984
versicherung,0.0008723497157916427
branding,0.0008704317733645439
brandschutz,0.0008698664023540914
leuchten,0.0008697137818671763
merchandising,0.000865618116222322
prozesse,0.0008629062213003635
intelligenz,0.0008627536590211093
klinikum,0.0008624137844890356
arzneimittel,0.0008591605583205819
kurzarbeitergeld,0.0008579952991567552
construction,0.0008561693248338997
telekommunikation,0.0008502075797878206
filter,0.0008495188667438924
motor,0.000848995812702924
hr,0.0008469288586638868
infrastruktur,0.0008452043402940035
status,0.0008408213034272194
architektur,0.0008397638448514044
werbemittel,0.0008301211055368185
wealth,0.000830060918815434
consultancy,0.0008276539156213403
komponenten,0.0008274600841104984
sorgfalt,0.0008272028062492609
site,0.0008262229966931045
career,0.0008251832332462072
warenwirtschaft,0.0008249967359006405
acquisition,0.0008201415766961873
arbeitsschutz,0.0008171734516508877
versorgung,0.0008146548643708229
ecosystem,0.0008139422279782593
strategy,0.0008090146002359688
blechbearbeitung,0.0008087762398645282
member,0.0008085723384283483
vehicles,0.000808297423645854
udetechnik,0.0008076300146058202
sports,0.0008068614406511188
automatisierung,0.0008066883310675621
agent,0.0008066712762229145
telefonanlagen,0.0008065550937317312
publications,0.0008050950709730387
produktivita,0.0008050764445215464
vehicle,0.0008001586538739502
personalentwicklung,0.0007939546485431492
logistik,0.0007926244870759547
verpackungen,0.0007922346121631563
webinars,0.0007912223809398711
practice,0.0007906415266916156
unternehmensberater,0.0007895264425314963
dokumentenverwaltung,0.0007889416883699596
enterprise,0.0007866121595725417
bauunternehmung,0.0007859262404963374
makler,0.0007857512682676315
umsetzung,0.0007856460870243609
plattform,0.0007826487999409437
pumps,0.0007765245391055942
restaurants,0.0007752352394163609
fund,0.0007749404758214951
gescha,0.0007747877389192581
fernwartung,0.0007745834882371128
nebenwirkungen,0.0007725112955085933
mailing,0.000769623729865998
werkstatt,0.0007684786105528474
banque,0.0007659189868718386
bau,0.0007647094316780567
metallbau,0.000763163436204195
projekten,0.0007625133148394525
stress,0.000761750212404877
medien,0.0007603153353556991
beratern,0.0007597881485708058
personal,0.0007577973883599043
werke,0.0007554700132459402
marke,0.0007552366005256772
dokumentation,0.0007550199516117573
probleme,0.000752775464206934
shipping,0.0007520269136875868
nutzer,0.0007509551360271871
motors,0.0007495982572436333
immobilien,0.0007491564610973
property,0.0007488924311473966
softwarelo,0.00074732955545187
fri,0.0007461850182153285
herstellung,0.000745986239053309
valve,0.0007444079965353012
anlagen,0.000743720680475235
lter,0.000743046693969518
immobilienmakler,0.0007397373556159437
onlineshops,0.0007391116814687848
neuheiten,0.00073908461490646
print,0.000735898909624666
agency,0.0007347278879024088
analytics,0.0007327719358727336
speed,0.0007324276957660913
hotels,0.0007313918322324753
zinsen,0.0007313677342608571
fahrzeug,0.0007311612134799361
pra,0.0007287691696546972
werbemitteln,0.000727176433429122
begeisterung,0.0007268775370903313
rken,0.0007259697304107249
workplace,0.0007252360228449106
kaffee,0.0007239141850732267
innovationskraft,0.0007235907833091915
leasing,0.0007215472869575024
plants,0.0007211470510810614
katalog,0.0007209311006590724
karte,0.0007202421547845006
drive,0.0007173045305535197
besetzung,0.0007171299657784402
trading,0.0007164106355048716
fertigung,0.0007146460702642798
gie,0.0007134482730180025
integration,0.0007127449498511851
maschinentechnik,0.0007111639133654535
zeiterfassung,0.0007107671117410064
partnership,0.0007102658273652196
pflege,0.0007079353090375662
besuchsverbot,0.000705704849679023
click,0.0007056636968627572
informationstechnologie,0.0007054685265757143
schlu,0.0007031310233287513
tiefbau,0.0007019423064775765
hosting,0.0007017389289103448
umsatz,0.0007016625022515655
platform,0.0006969821988604963
privatkunden,0.0006940487655811012
agentur,0.0006939662271179259
produktpalette,0.0006924272747710347
productivity,0.0006906938506290317
webdesign,0.0006901415763422847
datenschutzbestimmungen,0.0006896610138937831
elektro,0.0006888380739837885
kostrom,0.0006879245629534125
steigerung,0.0006877745618112385
transparenz,0.0006862438749521971
room,0.0006855898536741734
machine,0.0006839729030616581
life,0.0006834424566477537
steel,0.0006825503660365939
smart,0.0006824430893175304
gutschein,0.0006808080361224711
growth,0.0006803802098147571
leiter,0.0006786467274650931
gesundheit,0.0006785622099414468
preise,0.0006777086528018117
driven,0.0006776077789254487
geschenk,0.0006764205172657967
straßen,0.0006726728170178831
gratis,0.0006718296790495515
support,0.0006712686154060066
erfahrungen,0.0006711334572173655
frequenz,0.0006679610232822597
prozessen,0.0006675764452666044
sterne,0.0006650424329563975
gestaltung,0.0006640934152528644
estate,0.0006625609239563346
es,0.000660659687127918
modelle,0.000659656769130379
risiken,0.0006586686358787119
vendor,0.0006581850466318429
absicherung,0.0006580774788744748
kundenbeziehungen,0.0006573557038791478
conversion,0.000656500575132668
printing,0.0006564463838003576
insurance,0.000655617390293628
shop,0.0006551347323693335
anfrage,0.0006545311189256608
advertising,0.000653715047519654
browser,0.0006500421441160142
processing,0.0006483625620603561
leadership,0.0006483015604317188
specialty,0.0006480373558588326
communications,0.0006466712802648544
natur,0.0006462187157012522
institut,0.0006447877967730165
content,0.0006437425035983324
managementberatung,0.0006435666000470519
photovoltaik,0.0006434191018342972
developer,0.00064155797008425
loans,0.0006414866074919701
selection,0.0006401218706741929
keyboard_arrow_down,0.0006363875581882894
werkzeug,0.0006329730385914445
partnern,0.0006318707019090652
fm,0.0006311991019174457
migration,0.0006311473553068936
tarif,0.0006300180102698505
collaboration,0.0006290921592153609
sofort,0.0006284855189733207
delivery,0.0006261576781980693
grenzen,0.0006259296787902713
begleitung,0.0006161893834359944
kaufpreis,0.0006160305347293615
leistungsspektrum,0.0006151321576908231
kontoauszug,0.0006145257502794266
strom,0.0006138085736893117
fahrzeugtechnik,0.0006136982701718807
routing,0.0006126475054770708
werkzeugbau,0.000612463045399636
restaurant,0.0006114400457590818
projektentwicklung,0.0006103970226831734
bauprojekte,0.000607827736530453
wachstum,0.0006074905395507812
budget,0.0006058504804968834
ausstellung,0.0006036671111360192
academy,0.0006028719944879413
_ga,0.0006022300804033875
achtung,0.0006008262862451375
regelungen,0.0006005303002893925
netzwerktechnik,0.0006003541056998074
einschra,0.0005978916306048632
easycredit,0.0005970621132291853
strategie,0.0005968724726699293
einwilligung,0.0005966307944618165
account_circle,0.0005960980197414756
trade,0.0005945994053035975
serie,0.0005942347343079746
sung,0.0005932871135883033
großhandel,0.0005925894365645945
ligne,0.0005923187709413469
sondermaschinenbau,0.0005912561900913715
sap,0.0005905633443035185
sortiment,0.0005905028083361685
needs,0.0005901320837438107
precision,0.0005898460512980819
unterstu,0.0005884054116904736
transport,0.0005881738616153598
akademie,0.0005878620431758463
ftsprozesse,0.0005876176874153316
tradition,0.0005870284512639046
versand,0.0005864875274710357
kontaktaufnahme,0.0005849362933076918
impact,0.0005849293665960431
antworten,0.0005834883777424693
anwendungen,0.0005826628184877336
reservations,0.0005819255020469427
ge,0.0005817065248265862
verantwortung,0.0005810669390484691
draht,0.0005810155998915434
branche,0.0005803793319500983
wandel,0.0005803416133858263
webshop,0.0005780713399872184
sensors,0.0005776750040240586
planning,0.0005773543962277472
ssigkeit,0.0005772454896941781
traum,0.0005768757546320558
auslandsaufenthalt,0.0005765960086137056
erfolgsgeschichte,0.0005759721389040351
architects,0.0005759489140473306
wohlbefinden,0.0005757850594818592
automotive,0.0005745704402215779
produktportfolio,0.000573735567741096
nkung,0.0005733267171308398
laden,0.0005729118711315095
agence,0.0005725540104322135
kundenportal,0.0005720201297663152
offre,0.0005710282130166888
series,0.0005688963574357331
reduzierung,0.0005688408273272216
internet,0.0005682824994437397
reinigung,0.000567459559533745
systemen,0.0005671428516507149
informatie,0.0005663124029524624
erweiterung,0.0005658635636791587
showroom,0.0005650862003676593
beratungs,0.0005645158817060292
teilnahme,0.0005643013282679021
besucher,0.0005642221658490598
device,0.0005636033019982278
dach,0.0005629375227726996
praxis,0.0005627877544611692
open,0.0005623696488328278
kundenservice,0.0005618294817395508
places,0.0005617860588245094
krise,0.0005605719052255154
kunde,0.0005598161369562149
ersatzteile,0.0005587531486526132
netz,0.0005578990676440299
expand_more,0.0005577562842518091
networking,0.0005577453994192183
manufacturing,0.0005575906834565103
innovations,0.0005568427732214332
computer,0.000556787708774209
objekten,0.0005560100544244051
assurance,0.000555864127818495
rkte,0.0005547433393076062
artikel,0.0005544780287891626
lage,0.0005542135331779718
visualisierung,0.0005541258724406362
approach,0.0005518136895261705
neubau,0.0005508164176717401
features,0.0005504243308678269
referenzen,0.0005500543629750609
seminar,0.000548415700905025
instandhaltung,0.0005472354241646826
aluminium,0.0005459289532154799
workforce,0.0005456156795844436
ingredients,0.0005455996142700315
light,0.0005451036267913878
standard,0.0005446800496429205
fragebogen,0.0005435075727291405
ller,0.0005422835238277912
handwerk,0.0005419924855232239
rechtsanwalt,0.000541789224371314
vorschla,0.0005417410284280777
steuererkla,0.0005417369538918138
branch,0.0005407723365351558
personalmanagement,0.0005389029392972589
monitoring,0.0005375040345825255
traffic,0.0005371844745241106
erreichbarkeit,0.0005365231772884727
onlineshop,0.0005352511652745306
beleuchtung,0.000534328690264374
immobilieninvestments,0.0005341997602954507
schritt,0.0005341090145520866
center,0.0005339716444723308
mm,0.0005333714070729911
candidates,0.0005324651137925684
consultants,0.0005316827446222305
optimization,0.0005314078880473971
warranty,0.0005310680717229843
excellence,0.000531005731318146
intelligence,0.0005309723783284426
values,0.0005302890203893185
garantie,0.0005297583411447704
factoring,0.0005285501247271895
leistungsangebot,0.0005282667698338628
roof,0.0005281605990603566
implementierung,0.0005280608893372118
erfahren,0.0005277862073853612
fahrzeuge,0.0005272662965580821
antriebstechnik,0.0005270864348858595
stories,0.0005258404999040067
materials,0.0005252211703918874
simulation,0.0005237660952843726
eigentumswohnungen,0.0005234405980445445
gewerbekunden,0.0005230951937846839
auto,0.0005224616033956409
systems,0.0005219645681791008
gbarkeit,0.000521951587870717
arbeit,0.0005209676455706358
anlage,0.0005207103095017374
controlling,0.0005204321932978928
equipment,0.0005203058826737106
asset,0.0005200092564336956
locations,0.0005199215956963599
unternehmenssteuerung,0.0005192128010094166
unternehmensgruppe,0.0005188657669350505
schutz,0.0005187237984500825
profi,0.0005181695451028645
energie,0.0005180404405109584
sichtbarkeit,0.0005177603452466428
wohnung,0.000517113774549216
infrastrukturen,0.0005155533435754478
orders,0.0005142213776707649
industriebedarf,0.0005141766741871834
haus,0.0005141745787113905
erstellung,0.0005135615356266499
communication,0.0005134146776981652
lieferanten,0.0005130336503498256
spaß,0.0005122622242197394
modul,0.0005112914368510246
rfen,0.0005107023171149194
medizintechnik,0.0005102118011564016
abholservice,0.0005096423556096852
downloads,0.0005090055055916309
standorten,0.0005088251200504601
zubeho,0.0005075010703876615
match,0.0005072192288935184
corporation,0.0005070415209047496
booth,0.0005067671881988645
others,0.0005062646814621985
sensoren,0.0005061905249021947
