,precision,recall,f1-score,support
Automotive,0.6884735202492211,0.6971608832807571,0.6927899686520376,317.0
Construction,0.7183908045977011,0.6476683937823834,0.6811989100817438,386.0
Consumer Goods,0.5358361774744027,0.6205533596837944,0.5750915750915752,506.0
Financial Services,0.8026666666666666,0.7305825242718447,0.7649301143583227,412.0
Human Resources,0.8188976377952756,0.538860103626943,0.65,193.0
Information Technology and Services,0.612081170363379,0.8617940199335549,0.7157836644591611,1505.0
Insurance,0.826530612244898,0.648,0.726457399103139,125.0
Legal Services,0.8770491803278688,0.8359375,0.856,128.0
"Leisure, Travel & Tourism",0.868421052631579,0.8114754098360656,0.8389830508474576,122.0
Logistics and Supply Chain,0.7868852459016393,0.6530612244897959,0.7137546468401487,147.0
Machinery,0.4897959183673469,0.4752475247524752,0.4824120603015075,505.0
Management Consulting,0.6298932384341637,0.5307346326836582,0.5760781122864118,667.0
Marketing and Advertising,0.6444444444444445,0.7222222222222222,0.6811201445347786,522.0
Mechanical or Industrial Engineering,0.5170807453416149,0.5771230502599654,0.5454545454545455,577.0
Media Production,0.40384615384615385,0.17427385892116182,0.24347826086956523,241.0
Medical Practice,0.7857142857142857,0.648876404494382,0.7107692307692308,356.0
Real Estate,0.8723404255319149,0.6949152542372882,0.7735849056603775,236.0
Recreational Facilities and Services,0.7049180327868853,0.5512820512820513,0.6187050359712231,156.0
Renewables & Environment,0.8421052631578947,0.46601941747572817,0.6000000000000001,103.0
Telecommunications,0.7115384615384616,0.27007299270072993,0.39153439153439157,137.0
Wholesale,0.6853146853146853,0.4224137931034483,0.5226666666666666,232.0
accuracy,0.6443945596197016,0.6443945596197016,0.6443945596197016,0.6443945596197016
macro avg,0.7058201772728803,0.5989654581446786,0.6362282230229658,7573.0
weighted avg,0.6539201050004914,0.6443945596197016,0.6370911642484367,7573.0
