,precision,recall,f1-score,support
Automotive,0.7797356828193832,0.5583596214511041,0.650735294117647,317.0
Construction,0.6656346749226006,0.5569948186528497,0.6064880112834979,386.0
Consumer Goods,0.45805369127516776,0.5395256916996047,0.4954627949183303,506.0
Financial Services,0.7966573816155988,0.6941747572815534,0.74189364461738,412.0
Human Resources,0.7874015748031497,0.5181347150259067,0.625,193.0
Information Technology and Services,0.5543478260869565,0.8471760797342193,0.6701708278580815,1505.0
Insurance,0.8,0.64,0.7111111111111111,125.0
Legal Services,0.8899082568807339,0.7578125,0.8185654008438819,128.0
"Leisure, Travel & Tourism",0.8130081300813008,0.819672131147541,0.8163265306122449,122.0
Logistics and Supply Chain,0.79,0.5374149659863946,0.639676113360324,147.0
Machinery,0.4968421052631579,0.46732673267326735,0.4816326530612245,505.0
Management Consulting,0.5373376623376623,0.4962518740629685,0.5159781761496492,667.0
Marketing and Advertising,0.6243093922651933,0.6494252873563219,0.6366197183098592,522.0
Mechanical or Industrial Engineering,0.47467438494934877,0.5684575389948007,0.5173501577287066,577.0
Media Production,0.38596491228070173,0.0912863070539419,0.1476510067114094,241.0
Medical Practice,0.8148148148148148,0.6179775280898876,0.7028753993610223,356.0
Real Estate,0.806282722513089,0.652542372881356,0.7213114754098361,236.0
Recreational Facilities and Services,0.76,0.36538461538461536,0.49350649350649345,156.0
Renewables & Environment,0.75,0.4077669902912621,0.5283018867924528,103.0
Telecommunications,0.5873015873015873,0.27007299270072993,0.37,137.0
Wholesale,0.5232558139534884,0.3879310344827586,0.4455445544554455,232.0
accuracy,0.5992341212201241,0.5992341212201241,0.5992341212201241,0.5992341212201241
macro avg,0.671215743531616,0.544937550235766,0.587438154771838,7573.0
weighted avg,0.6153073484078858,0.5992341212201241,0.5906480063549028,7573.0
