,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,221,0,10,3,1,25,0,0,0,1,19,5,4,24,1,0,0,1,0,0,2
Construction,4,250,18,3,1,30,0,0,3,2,29,8,7,20,1,2,5,0,1,0,2
Consumer Goods,14,8,314,2,0,47,1,1,1,0,26,9,9,40,3,8,1,7,3,1,11
Financial Services,7,3,6,301,1,46,10,2,0,0,3,17,3,1,2,3,2,1,1,0,3
Human Resources,1,0,2,0,104,36,0,0,0,0,4,31,7,5,1,1,0,1,0,0,0
Information Technology and Services,10,5,22,12,3,1297,0,3,3,4,10,52,31,8,25,9,2,2,0,4,3
Insurance,2,0,2,15,0,13,81,0,0,0,0,8,0,1,2,0,1,0,0,0,0
Legal Services,0,1,2,4,0,9,0,107,0,0,0,4,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,0,1,0,8,0,0,99,0,1,0,3,2,0,1,1,4,0,0,1
Logistics and Supply Chain,4,0,5,2,0,18,0,0,0,96,7,3,0,7,1,1,1,0,1,0,1
Machinery,12,14,27,1,0,39,0,0,0,2,240,15,3,131,0,9,2,1,2,0,7
Management Consulting,6,9,11,11,14,176,2,7,1,4,5,354,34,11,5,9,3,0,1,3,1
Marketing and Advertising,6,6,10,3,0,71,0,0,2,2,3,8,377,7,16,3,0,3,0,1,4
Mechanical or Industrial Engineering,14,22,43,1,0,48,0,0,0,1,90,10,2,333,1,4,1,2,0,1,4
Media Production,2,1,10,2,1,89,0,1,1,2,3,7,70,2,42,3,1,0,0,4,0
Medical Practice,5,0,19,3,1,42,1,1,0,2,6,13,3,19,0,231,1,8,0,0,1
Real Estate,3,12,5,8,0,23,3,0,2,1,6,5,3,0,1,0,164,0,0,0,0
Recreational Facilities and Services,0,1,15,1,0,16,0,0,2,3,5,4,8,7,0,4,0,86,0,0,4
Renewables & Environment,2,3,8,2,0,11,0,0,0,0,13,1,2,12,0,0,1,0,48,0,0
Telecommunications,1,7,15,0,1,57,0,0,0,0,2,5,9,1,0,0,1,0,0,37,1
Wholesale,7,5,42,0,0,18,0,0,0,2,18,3,10,13,3,6,0,6,0,1,98
