,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,177,2,21,0,0,35,1,0,0,2,16,11,6,39,0,0,1,1,0,0,5
Construction,1,215,26,0,1,45,0,0,7,1,29,23,6,12,0,3,11,0,2,0,4
Consumer Goods,6,11,273,2,0,74,2,1,1,1,27,13,3,66,0,3,1,6,1,3,12
Financial Services,9,4,7,286,0,61,8,3,0,0,2,17,1,2,0,3,7,0,1,0,1
Human Resources,0,2,4,1,100,39,0,1,1,0,2,32,6,3,0,2,0,0,0,0,0
Information Technology and Services,4,3,24,14,2,1275,1,2,1,5,10,58,28,25,20,10,3,2,1,12,5
Insurance,0,1,1,10,0,19,80,0,0,0,0,6,1,1,1,2,3,0,0,0,0
Legal Services,0,2,0,7,1,9,0,97,0,1,1,8,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,1,0,100,0,0,1,0,1,0,0,2,1,0,0,0
Logistics and Supply Chain,3,5,4,2,1,22,0,0,0,79,7,9,5,7,1,0,0,0,0,0,2
Machinery,7,19,21,2,0,51,0,0,1,2,236,12,3,130,1,2,2,0,2,1,13
Management Consulting,3,13,11,14,19,198,3,4,3,1,9,331,33,8,1,6,3,1,2,3,1
Marketing and Advertising,4,7,16,4,1,90,0,0,2,2,5,24,339,4,7,7,2,0,0,1,7
Mechanical or Industrial Engineering,5,11,56,0,1,62,0,0,0,1,83,11,1,328,0,4,0,0,3,0,11
Media Production,1,0,10,2,1,98,0,1,2,0,0,10,85,2,22,2,0,1,0,4,0
Medical Practice,0,3,16,0,0,59,3,0,0,2,6,18,1,21,0,220,1,1,0,0,5
Real Estate,0,10,2,13,0,34,1,0,4,2,0,10,5,0,0,0,154,0,0,0,1
Recreational Facilities and Services,0,0,30,1,0,21,0,0,1,0,6,10,6,6,0,3,0,57,0,1,14
Renewables & Environment,0,5,6,0,0,15,0,0,0,0,18,2,2,13,0,0,0,0,42,0,0
Telecommunications,1,2,15,0,0,62,0,0,0,0,2,6,3,5,2,0,0,0,1,37,1
Wholesale,6,7,52,0,0,18,0,0,0,1,16,4,8,18,2,3,0,5,1,1,90
