,precision,recall,f1-score,support
Automotive,0.7224199288256228,0.6403785488958991,0.6789297658862876,317.0
Construction,0.6606606606606606,0.5699481865284974,0.611961057023644,386.0
Consumer Goods,0.4765625,0.6027667984189723,0.5322862129144852,506.0
Financial Services,0.7989556135770235,0.7427184466019418,0.7698113207547169,412.0
Human Resources,0.6942675159235668,0.5647668393782384,0.6228571428571429,193.0
Information Technology and Services,0.6065732237796037,0.8338870431893688,0.70229434806939,1505.0
Insurance,0.85,0.68,0.7555555555555556,125.0
Legal Services,0.8974358974358975,0.8203125,0.8571428571428573,128.0
"Leisure, Travel & Tourism",0.8839285714285714,0.8114754098360656,0.8461538461538461,122.0
Logistics and Supply Chain,0.8032786885245902,0.6666666666666666,0.728624535315985,147.0
Machinery,0.4869402985074627,0.5168316831683168,0.5014409221902016,505.0
Management Consulting,0.5674740484429066,0.4917541229385307,0.5269076305220883,667.0
Marketing and Advertising,0.6114864864864865,0.6934865900383141,0.6499102333931778,522.0
Mechanical or Industrial Engineering,0.5559322033898305,0.5684575389948007,0.5621251071122536,577.0
Media Production,0.4418604651162791,0.15767634854771784,0.2324159021406728,241.0
Medical Practice,0.7408536585365854,0.6825842696629213,0.7105263157894737,356.0
Real Estate,0.8808290155440415,0.7203389830508474,0.7925407925407927,236.0
Recreational Facilities and Services,0.6885245901639344,0.5384615384615384,0.6043165467625898,156.0
Renewables & Environment,0.6451612903225806,0.3883495145631068,0.4848484848484848,103.0
Telecommunications,0.7037037037037037,0.2773722627737226,0.39790575916230364,137.0
Wholesale,0.6949152542372882,0.35344827586206895,0.4685714285714286,232.0
accuracy,0.6284167436947049,0.6284167436947049,0.6284167436947049,0.6284167436947049
macro avg,0.6862744578384112,0.586746741313216,0.6208155126051133,7573.0
weighted avg,0.6367671776477596,0.6284167436947049,0.6207984375575866,7573.0
