,precision,recall,f1-score,support
Automotive,0.780373831775701,0.526813880126183,0.6290018832391715,317.0
Construction,0.6287625418060201,0.48704663212435234,0.5489051094890511,386.0
Consumer Goods,0.4,0.45849802371541504,0.427255985267035,506.0
Financial Services,0.8005952380952381,0.6529126213592233,0.7192513368983958,412.0
Human Resources,0.75,0.5284974093264249,0.6200607902735561,193.0
Information Technology and Services,0.4867980661956118,0.8697674418604651,0.6242250834525512,1505.0
Insurance,0.7160493827160493,0.464,0.5631067961165048,125.0
Legal Services,0.8679245283018868,0.71875,0.7863247863247864,128.0
"Leisure, Travel & Tourism",0.7868852459016393,0.7868852459016393,0.7868852459016392,122.0
Logistics and Supply Chain,0.7471264367816092,0.4421768707482993,0.5555555555555556,147.0
Machinery,0.4760705289672544,0.37425742574257426,0.41906873614190693,505.0
Management Consulting,0.6189473684210526,0.4407796101949025,0.5148861646234676,667.0
Marketing and Advertising,0.6483050847457628,0.5862068965517241,0.6156941649899397,522.0
Mechanical or Industrial Engineering,0.42609853528628494,0.5545927209705372,0.4819277108433735,577.0
Media Production,0.4444444444444444,0.11618257261410789,0.18421052631578946,241.0
Medical Practice,0.7725321888412017,0.5056179775280899,0.6112054329371817,356.0
Real Estate,0.8306010928961749,0.6440677966101694,0.7255369928400954,236.0
Recreational Facilities and Services,0.7073170731707317,0.3717948717948718,0.48739495798319327,156.0
Renewables & Environment,0.6875,0.32038834951456313,0.4370860927152318,103.0
Telecommunications,0.5365853658536586,0.16058394160583941,0.24719101123595505,137.0
Wholesale,0.47752808988764045,0.36637931034482757,0.4146341463414634,232.0
accuracy,0.5605440380298429,0.5605440380298429,0.5605440380298429,0.5605440380298429
macro avg,0.6471640497184743,0.49410474279210514,0.5428289766421831,7573.0
weighted avg,0.5925353224368247,0.5605440380298429,0.5507034095004656,7573.0
