,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,203,4,14,2,2,28,0,0,0,1,26,9,3,15,0,3,1,3,1,0,2
Construction,4,220,25,3,1,34,0,0,2,0,29,14,12,26,1,2,7,2,4,0,0
Consumer Goods,13,16,305,0,0,53,0,2,0,1,31,13,8,33,2,9,1,6,1,1,11
Financial Services,8,1,4,306,1,50,6,1,0,0,5,18,2,1,1,5,1,1,0,0,1
Human Resources,0,1,3,1,109,30,0,1,0,0,3,29,9,2,2,3,0,0,0,0,0
Information Technology and Services,11,8,38,13,5,1255,0,3,2,8,7,59,40,10,23,10,1,1,3,6,2
Insurance,1,0,4,11,2,11,85,0,0,0,2,3,2,0,1,0,1,1,0,1,0
Legal Services,0,0,0,5,0,5,0,105,0,0,1,9,0,1,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,3,0,9,0,0,99,0,1,2,1,0,0,1,1,3,0,0,0
Logistics and Supply Chain,3,1,4,0,0,17,0,0,0,98,6,4,2,7,1,1,0,0,2,0,1
Machinery,9,15,38,1,0,32,0,0,0,1,261,13,6,108,0,8,2,3,4,0,4
Management Consulting,1,14,8,11,26,190,3,5,1,4,10,328,36,5,7,7,3,2,4,1,1
Marketing and Advertising,4,4,19,3,0,68,0,0,0,2,5,26,362,4,10,6,2,2,0,3,2
Mechanical or Industrial Engineering,11,16,37,2,4,42,0,0,1,3,90,13,11,328,0,8,0,2,2,0,7
Media Production,0,0,13,4,3,93,0,0,2,1,0,8,70,1,38,2,2,2,0,2,0
Medical Practice,5,2,27,2,1,34,4,0,0,0,6,10,8,11,0,243,0,3,0,0,0
Real Estate,0,16,5,10,1,22,1,0,3,1,2,2,2,0,0,1,170,0,0,0,0
Recreational Facilities and Services,1,1,16,2,0,14,1,0,2,0,7,3,4,8,0,7,0,84,0,2,4
Renewables & Environment,3,7,12,0,1,8,0,0,0,1,16,1,1,12,0,1,0,0,40,0,0
Telecommunications,0,2,20,1,1,52,0,0,0,0,5,6,6,4,0,0,0,0,1,38,1
Wholesale,4,5,46,3,0,22,0,0,0,1,23,8,7,14,0,10,0,7,0,0,82
