,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,167,2,20,1,1,53,1,0,1,1,20,6,1,35,1,1,0,0,1,0,5
Construction,2,188,23,1,0,73,1,1,5,2,31,12,5,27,0,1,8,1,0,0,5
Consumer Goods,6,8,232,1,1,100,2,1,2,1,20,4,2,90,2,7,0,7,1,1,18
Financial Services,6,2,5,269,0,95,7,3,1,0,0,10,2,2,0,3,4,1,1,0,1
Human Resources,1,1,4,2,102,39,1,1,0,0,3,29,5,1,0,3,0,0,1,0,0
Information Technology and Services,5,7,19,9,10,1309,2,2,3,3,8,42,23,22,9,12,4,1,1,11,3
Insurance,1,2,3,14,1,29,58,0,0,1,0,4,2,2,1,3,4,0,0,0,0
Legal Services,0,2,3,5,0,17,0,92,0,0,2,4,0,0,1,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,0,0,19,0,0,96,0,1,1,0,0,0,0,1,2,0,0,0
Logistics and Supply Chain,5,2,11,1,0,35,0,0,0,65,7,8,1,9,0,1,0,0,0,0,2
Machinery,4,18,33,3,0,76,0,0,0,3,189,10,5,139,1,1,1,1,3,0,18
Management Consulting,4,12,11,10,15,244,3,4,1,4,10,294,24,13,3,8,2,0,2,1,2
Marketing and Advertising,1,8,21,2,1,124,1,0,3,1,0,16,306,7,16,3,2,1,1,4,4
Mechanical or Industrial Engineering,6,12,51,2,3,89,0,0,0,2,64,8,3,320,0,1,0,2,1,0,13
Media Production,1,0,9,4,1,106,0,0,3,1,1,6,74,0,28,1,2,1,0,1,2
Medical Practice,1,1,39,2,0,69,3,0,1,1,7,14,3,28,1,180,1,1,0,0,4
Real Estate,0,18,2,9,0,40,1,2,4,1,0,3,2,2,0,0,152,0,0,0,0
Recreational Facilities and Services,0,1,15,0,1,40,0,0,2,0,6,0,3,10,0,4,0,58,1,1,14
Renewables & Environment,1,6,10,0,0,22,0,0,0,1,14,0,0,16,0,0,0,0,33,0,0
Telecommunications,0,3,16,0,0,76,1,0,0,0,2,4,6,4,0,0,0,0,1,22,2
Wholesale,3,5,52,1,0,34,0,0,0,0,12,0,5,24,0,4,0,6,1,0,85
