,precision,recall,f1-score,support
Automotive,0.7328767123287672,0.6750788643533123,0.7027914614121511,317.0
Construction,0.686046511627907,0.6113989637305699,0.6465753424657535,386.0
Consumer Goods,0.4837758112094395,0.6482213438735178,0.5540540540540541,506.0
Financial Services,0.7944162436548223,0.7597087378640777,0.7766749379652605,412.0
Human Resources,0.7605633802816901,0.5595854922279793,0.6447761194029851,193.0
Information Technology and Services,0.658485639686684,0.837873754152824,0.7374269005847953,1505.0
Insurance,0.8645833333333334,0.664,0.751131221719457,125.0
Legal Services,0.8852459016393442,0.84375,0.864,128.0
"Leisure, Travel & Tourism",0.8571428571428571,0.8360655737704918,0.8464730290456433,122.0
Logistics and Supply Chain,0.8015873015873016,0.6870748299319728,0.73992673992674,147.0
Machinery,0.50853889943074,0.5306930693069307,0.5193798449612403,505.0
Management Consulting,0.57984496124031,0.56071964017991,0.5701219512195121,667.0
Marketing and Advertising,0.6466552315608919,0.7222222222222222,0.6823529411764706,522.0
Mechanical or Industrial Engineering,0.5680272108843537,0.5788561525129983,0.5733905579399141,577.0
Media Production,0.4791666666666667,0.1908713692946058,0.2729970326409495,241.0
Medical Practice,0.796875,0.7162921348314607,0.7544378698224851,356.0
Real Estate,0.8900523560209425,0.7203389830508474,0.7962529274004684,236.0
Recreational Facilities and Services,0.689922480620155,0.5705128205128205,0.6245614035087719,156.0
Renewables & Environment,0.7313432835820896,0.47572815533980584,0.5764705882352942,103.0
Telecommunications,0.6176470588235294,0.30656934306569344,0.4097560975609756,137.0
Wholesale,0.7175572519083969,0.4051724137931034,0.5179063360881543,232.0
accuracy,0.6539020203354021,0.6539020203354021,0.6539020203354021,0.6539020203354021
macro avg,0.702397813963344,0.6143206601911974,0.6457836836729084,7573.0
weighted avg,0.6606319002440503,0.6539020203354021,0.6481546987142582,7573.0
