,precision,recall,f1-score,support
Automotive,0.7743362831858407,0.5520504731861199,0.6445672191528545,317.0
Construction,0.6748466257668712,0.5699481865284974,0.6179775280898877,386.0
Consumer Goods,0.4402730375426621,0.5098814229249012,0.47252747252747257,506.0
Financial Services,0.776,0.7063106796116505,0.7395171537484118,412.0
Human Resources,0.7889908256880734,0.44559585492227977,0.5695364238410596,193.0
Information Technology and Services,0.5542635658914729,0.8551495016611296,0.6725894956885289,1505.0
Insurance,0.7628865979381443,0.592,0.6666666666666666,125.0
Legal Services,0.8938053097345132,0.7890625,0.8381742738589212,128.0
"Leisure, Travel & Tourism",0.8319327731092437,0.8114754098360656,0.8215767634854773,122.0
Logistics and Supply Chain,0.7878787878787878,0.5306122448979592,0.6341463414634148,147.0
Machinery,0.4829787234042553,0.4495049504950495,0.46564102564102566,505.0
Management Consulting,0.6114081996434938,0.5142428785607196,0.5586319218241043,667.0
Marketing and Advertising,0.6363636363636364,0.6302681992337165,0.6333012512030799,522.0
Mechanical or Industrial Engineering,0.45517241379310347,0.5719237435008665,0.5069124423963133,577.0
Media Production,0.47368421052631576,0.14937759336099585,0.22712933753943218,241.0
Medical Practice,0.7894736842105263,0.6320224719101124,0.702028081123245,356.0
Real Estate,0.8085106382978723,0.6440677966101694,0.7169811320754716,236.0
Recreational Facilities and Services,0.6973684210526315,0.33974358974358976,0.4568965517241379,156.0
Renewables & Environment,0.6363636363636364,0.4077669902912621,0.4970414201183432,103.0
Telecommunications,0.6727272727272727,0.27007299270072993,0.3854166666666667,137.0
Wholesale,0.4725274725274725,0.3706896551724138,0.41545893719806765,232.0
accuracy,0.5980456886306615,0.5980456886306615,0.5980456886306615,0.5980456886306615
macro avg,0.667704386459325,0.5400841492927728,0.582986576477742,7573.0
weighted avg,0.6167493909227957,0.5980456886306615,0.5901547184728364,7573.0
